,State House Disctrict,TotSenVotes,DemSenVotes,RepSenVotes,TotGovVotes,DemGovVotes,RepGovVotes,TotLegVotes,DemLegVotes,RepLegVotes,%DemSen,%RepSen,DemSenMarg,DemSenMargRounded,DemSenWinner,%DemGov,%RepGov,DemGovMarg,DemGovMargRounded,DemGovWinner,%DemLeg,%RepLeg,DemLegMarg,DemLegMargRounded,DemLegWinner,ContestedLeg,Target Category,DemSenGovCompare
106,147,55741.0,46013.0,9373.0,55659.0,42380.0,12261.0,54842.0,44314.0,10528.0,82.54785525914498,16.81527062664825,65.73258463249672,65.73,True,76.14222318043802,22.02878240715787,54.11344077328015,54.11,True,80.80303417089092,19.19696582910908,61.60606834178185,61.61,True,True,Dem Sweep,11.620000000000005
94,148,48555.0,33467.0,14556.0,48339.0,29336.0,17932.0,47459.0,32231.0,15228.0,68.92596025126146,29.978375038616,38.94758521264546,38.95,True,60.688057262252016,37.09634042905314,23.591716833198873,23.59,True,67.91335679217852,32.08664320782149,35.82671358435703,35.83,True,True,Dem Sweep,15.360000000000003
90,149,39135.0,25249.0,13633.0,39241.0,23344.0,15383.0,30652.0,27071.0,0.0,64.51769515778714,34.83582470933946,29.681870448447683,29.68,True,59.48879997961316,39.20134553145944,20.287454448153724,20.29,True,88.31723867936839,0.0,88.31723867936839,88.32,True,False,Dem Sweep,9.39
125,15,79931.0,27744.0,51525.0,79825.0,23026.0,55563.0,78890.0,25915.0,52975.0,34.70993732093931,64.46184834419687,-29.751911023257556,-29.75,False,28.845599749451928,69.60601315377389,-40.76041340432196,-40.76,False,32.84953733046013,67.15046266953986,-34.30092533907973,-34.3,False,True,Rep Sweep,11.009999999999998
102,150,71362.0,30173.0,40675.0,71340.0,26648.0,43738.0,70795.0,29888.0,40907.0,42.28160645721813,56.99812224993694,-14.716515792718809,-14.72,False,37.35351836276983,61.30922343706195,-23.95570507429212,-23.96,False,42.217670739459,57.782329260541,-15.564658521081995,-15.56,False,True,Rep Sweep,9.24
123,16,62258.0,13540.0,48275.0,62452.0,11619.0,50069.0,61292.0,12059.0,49233.0,21.748209065501623,77.54023579299046,-55.79202672748883,-55.79,False,18.60468840069173,80.17197207455325,-61.567283673861525,-61.57,False,19.674672061606735,80.32532793839326,-60.65065587678652,-60.65,False,True,Rep Sweep,5.780000000000001
9,17,50416.0,20053.0,29875.0,50308.0,17216.0,32118.0,49583.0,18849.0,30734.0,39.77507140590289,59.2569819105046,-19.481910504601707,-19.48,False,34.221197423868965,63.842728790649595,-29.62153136678063,-29.62,False,38.015045479297335,61.984954520702665,-23.96990904140533,-23.97,False,True,Rep Sweep,10.14
120,18,47768.0,12392.0,35075.0,47677.0,10676.0,36448.0,47156.0,11559.0,35597.0,25.94205325741082,73.4278177859655,-47.48576452855468,-47.49,False,22.392348511861066,76.44776307234096,-54.055414560479896,-54.06,False,24.51225718890491,75.48774281109509,-50.97548562219018,-50.98,False,True,Rep Sweep,6.57
86,19,53357.0,9761.0,43349.0,53216.0,8565.0,44161.0,53093.0,9132.0,43961.0,18.293757145266788,81.24332327529659,-62.9495661300298,-62.95,False,16.094783523752255,82.98444076969332,-66.88965724594107,-66.89,False,17.20000753394986,82.79999246605014,-65.59998493210028,-65.6,False,True,Rep Sweep,3.9399999999999977
116,2,58340.0,12330.0,45603.0,58242.0,10314.0,47220.0,57275.0,11432.0,45843.0,21.13472745971889,78.16763798423038,-57.03291052451149,-57.03,False,17.7088698877099,81.0755125167405,-63.36664262903061,-63.37,False,19.959842863378437,80.04015713662156,-60.08031427324312,-60.08,False,True,Rep Sweep,6.339999999999996
