CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0293025",643,512
"0293026",616,435
"0293027",528,431
"0293028",575,540
"0293029",331,401
"0293030",864,594
"0293031",6,9
"0293032",386,711
"0293033",901,452
"0293034",1454,376
"0293035",218,258
"0293036",712,1283
"0293037",721,899
"0293038",384,396
"0293039",1514,839
"0293040",611,652
"0293041",203,156
"0293042",893,600
"0293043",1139,511
"0293044",477,440
"0293045",641,365
"0293046",507,466
"0293047",633,614
"0293048",502,546
"0293049",858,615
"0293050",391,302
"0293051",159,96
"0293052",1474,1166
"0293053",632,512
"0293054",379,583
"0293055",1343,443
"0293056",352,635
"0293057",200,174
"0293058",639,1049
"0293059",526,439
"0293060",538,602
"0293061",439,587
"0293062",14,12
"0293063",569,631
"0293064",122,154
"0293065",10,26
"0293066",583,624
"0293067",541,483
"0293068",354,860
"0293069",1003,1020
"0293070",903,799
"0293071",568,838
"0293072",1339,905
"0293073",449,523
"0293074",888,786
"0293075",1399,718
"0293076",627,350
"0293077",844,765
"0293078",969,787
"0293079",1131,900
"0293080",381,314
"0293081",679,677
"0293082",675,685
"0293083",547,414
"0293084",947,846
"0293085",381,377
"0293086",639,524
"0293087",534,383
"0293088",1127,809
"0293089",1965,815
"0293090",978,831
"0293091",472,164
"0293092",1277,575
"0293093",1659,1076
"0293094",1243,796
"0293095",441,861
"0293096A",1229,846
"0293096B",0,0
"0293097",4,0
"0293098",424,375
"0293099",1023,927
"0293100",801,875
"0293101",812,731
"0293102",1132,810
"0293103",150,206
"0293104",924,722
"0293105",905,840
"0293106",687,394
"0293107",298,560
"0293108",611,372
"0293109",593,916
"0293110",825,870
"0293111",0,2
"0293112",255,503
"0293113",163,359
"0293114",1037,488
"0293115",756,556
"0293116",375,531
"0293117",1092,877
"0293118",279,296
"0293119",997,1117
"0293120",850,951
"0293121",1322,1127
"0293122",720,621
"0293123",199,119
"0293124",1015,779
"0293125A",1229,776
"0293125B",2,1
"0293126",636,408
"0293127",826,1081
"0293128",21,20
"0293129",717,1061
"0293130",787,407
"0293131",0,3
"0293132",224,422
"0293133",0,0
"0293134",393,1085
"0293135",223,302
"0293136",149,167
"0293137",1339,1092
"0293138",28,9
"0293139",305,467
"0293140",84,147
"0293141",280,447
"0293142",61,110
"0293143",400,480
"0293144",67,74
"0293145",1006,794
"0293146",738,1109
"0293147",650,817
"0293148",445,300
"0293149",257,1308
"0293150",8,8
"0293151",1516,1315
"0293152",249,521
"0293153",460,451
"0293154",677,414
"0293155",822,590
"0293156",10,7
"0293157",907,792
"0293158A",18,13
"0293158B",6,3
"0293159",405,608
"0293160",504,393
"0293161",525,784
"0293162",287,380
"0293163",883,656
"0293164",745,431
"0293165",1226,925
"0293166",134,181
"0293167",4,2
"0293168",210,263
"0293169",50,29
"0293170",0,0
"0293171",0,1
"0293172",106,171
"0293173",1114,890
"0293174",1637,985
"0293175",183,204
"0293176",21,17
"0293178",0,0
"0293179",1,1
"0293180",279,368
"0293181",787,499
"0293182",256,257
"0293183",9,1
"0293184",61,43
"0293185A",70,59
"0293185B",17,14
"0293186",1,0
"0293187",0,0
"0293188A",0,0
"0293188B",0,0
"0293189",277,332
"0293190",0,0
"0293191",76,53
"0293193",72,49
"0293194",1334,731
"0293195",258,867
"0293196",5,3
"0293198",203,200
"0293199",1059,723
"0293201",1534,829
"0293202",338,240
"0293203",182,115
"0293204",0,0
"0293205",0,0
"0293206",8,52
"0293207",1,3
"0293208",12,27
"0294001",410,910
"0294002",47,264
"0294003",61,359
"0294004",102,302
"0294005",120,634
"0294006",45,232
"0294007",181,185
"0294008",194,233
"0294009",54,247
"0294010",30,335
"0294011",38,409
"0294012",43,211
"0294013",85,294
"0294014",31,130
"0294015",126,657
"0294016",210,823
"0294017",201,902
"0294018",157,518
"0294019",245,715
"0294020",184,360
"0294021",210,312
"0294022",26,30
"0294023",396,670
"0294024",364,821
"0294025",139,359
"0294026",316,1023
"0294027",198,519
"0294028",243,874
"0294029",112,695
"0294030",9,122
"0294031",161,518
"0294032",247,533
"0294033",449,929
"0294034",251,506
"0294035",5,15
"0294036",193,957
"0294037",54,512
"0294038",678,1056
"0294039",33,447
"0294040",71,411
"0294041",85,669
"0294042",21,26
"0294043",499,865
"0294044",212,375
"0294045",405,695
"0294046",763,684
"0294047",352,720
"0294048",130,561
"0294049",303,630
"0294050",502,397
"0294051",639,497
"0294052",609,548
"0294053",362,546
"0294054",805,1016
"0294055",420,331
"0294056",745,746
"0294057",710,389
"0294058",609,360
"0294059",545,587
"0294060",365,521
"0294061",270,580
"0294062",83,207
"0294063",130,218
"0294064",497,580
"0294065",374,1111
"0294066",513,953
"0294067",322,400
"0294068",73,138
"0294069",376,213
"0294070",383,1088
"0294071",746,147
"0294072",1160,446
"0294073",378,343
"0294074",455,405
"0294075",51,240
"0294076",334,803
"0294077",432,819
"0294078",533,160
"0294079",413,327
"0294080",293,589
"0294081",114,76
"0294082",76,536
"0294083",141,196
"0294084",41,134
"0294085",10,0
"0294086",137,80
"0294087",405,625
"0294088",525,1063
"0294089",639,748
"0294090",457,537
"0294091",167,363
"0294092",502,406
"0294093",529,646
"0294094",455,475
"0294095",426,439
"0294096",364,643
"0294097",388,442
"0294098",361,439
"0294099",205,347
"0294100",193,276
"0294101",286,193
"0294102",84,215
"0294103",0,0
"0294104",387,469
"0294105",566,453
"0294106",46,116
"0294107",340,372
"0294108",721,846
"0294109",134,247
"0294110",143,470
"0294111",9,109
"0294112",316,217
"0294113",48,252
"0294114A",11,10
"0294114B",1,1
"0294115",59,50
"0294116",16,14
"0294117",150,164
"0294118",40,7
"0294119",78,253
"0294120",27,57
"0294121",56,35
"0294122",10,40
"0294123",16,57
"0294124",163,592
"0294125",7,26
"0294126",428,267
"0294127",10,10
"0294128",32,62
"0294129",32,16
"0294130",150,208
"0294131",52,103
"0294132",386,725
"0294133",16,1
"0294134",1,3
"0294135",0,0
"0294136",128,56
"0294137",50,6
"0294138",2,2
"0294139",0,0
"0294140",0,0
"0294141",11,83
"0294142",33,192
"0294143",390,1146
"0294144",194,103
"0294145",4,2
"0294146",5,12
"0294147",65,83
"0294148",37,51
"0294149",65,105
"0294150",235,499
"0294151",229,61
"0294152",355,535
"0294153",22,25
"0294154",145,207
"0294155",262,1081
"0294156",116,327
"0294157",157,668
"0294158",78,167
"0294159",4,3
"0294160",205,522
"0294161",19,189
"0294162",483,566
"0294163",325,648
"0294164",763,513
"0294165",35,19
"0294166",45,72
"0294167",5,8
"0294168",302,622
"0294169",111,84
"0294170",66,103
"0294171",348,335
"0294172",260,306
"0294173",415,443
"0294174",240,372
"0294175",0,0
"0294176",298,247
"0294177",1,18
"0294178",0,2
"0294179",756,782
"0294180",2,0
"0294181",0,0
"0294182",1,0
"0294183",12,42
"0294184",1,9
"0294185",2,0
"0294186",10,49
"0294187",0,0
"0294188",0,1
"0294189",94,265
"0294190",0,2
"0294191",0,0
"0294192",0,0
"0294193",5,13
"0294194",140,159
"0294195",0,0
"0294196",0,0
"0294198",201,525
"0294199",189,310
"0294200",372,837
"0294201",7,2
"0294202",0,0
"0294203",40,148
"0294204",1,2
"0294205",27,30
"0294206",87,119
"0294207",12,2
"0294208",0,0
"0294209",23,4
"0294210",3,3
"0294211",1,19
"0294212",2,1
"0310102",1055,332
"0310201",1112,369
"0310302",538,259
"0310303",293,79
"0310304",136,56
"0310401",1108,415
"0330004",81,4
"033001A",34,4
"033001B",50,3
"033002A",69,4
"033002B",26,3
"033003A",14,1
"033003B",36,1
"0350001",369,61
"0350002",350,104
"0350003",501,107
"0350004",263,36
"0350005",682,193
"0350006",595,132
"0350007",358,69
"0350008",1071,257
"0350009",439,112
"0350010",636,148
"0350011",424,85
"0370007",1242,668
"0370009",866,440
"0370010",925,216
"0370011",1230,187
"0370012",1104,192
"0370013",67,20
"0370014",1122,458
"0370015",276,34
"0370016",639,93
"0370017",755,121
"0370018",1025,217
"0370019",400,28
"037001A",59,373
"037001B",122,362
"0370020",212,115
"0370021",120,23
"0370022",161,38
"0370024",249,53
"0370025",565,114
"0370027",333,25
"0370028",404,30
"0370029",161,21
"037002A",119,349
"037002B",77,100
"037002C",62,390
"037002D",13,17
"0370030",564,169
"037003A",492,270
"037003B",143,220
"037004A",170,222
"037004B",558,285
"037004C",108,141
"037004D",6,8
"037004E",0,0
"037005A",44,58
"037005B",0,0
"037005C",1968,537
"037006A",888,312
"037006B",990,264
"037008A",138,232
"037008B",1201,365
"037008C",545,125
"0390001",1310,598
"0390002",1544,521
"0390003",1805,569
"0390004",1308,385
"0390005",772,244
"0390006",643,99
"0390007",297,560
"0390008",447,117
"0390009",271,164
"0390010",444,72
"0390011",1027,637
"0390012",1144,709
"0390013",1462,1006
"0390014",2047,644
"0390015",1211,153
"0390016",1505,630
"0390017",477,547
"0390019",359,426
"0390020",650,162
"0390021",1064,1283
"0390022",1831,505
"0390023",1493,604
"0390024",1768,603
"0390025",773,250
"0390026",1059,876
"0390027",810,664
"0390028",2061,1309
"0390029",745,1274
"0390030",1492,317
"0390031",526,98
"0390032",1126,275
"0390033",758,323
"0390034",1646,560
"0390035",782,149
"0390036",1593,996
"0390038",329,107
"0390039",1273,614
"0390040",1970,1091
"0390042",220,108
"0390043",1553,641
"0390044",1448,1908
"0390045",1397,519
"0390046",923,412
"0390047",848,569
"0390048",857,465
"0390049",788,118
"0390050",1255,2905
"0390051",1600,524
"0390052",1201,541
"0390053",287,868
"0390054",671,1066
"0390055",1167,472
"0390056",1672,710
"0390057",1351,350
"0390058",510,636
"0390059",940,2277
"0390060",1540,1578
"0390061",2347,955
"0390062",879,1266
"0390063",494,1630
"0390064",15,5
"0390067",562,1418
"0390068",647,1277
"0410001",999,222
"0410002",2446,802
"0410003",327,183
"0410004",61,528
"0410005",846,200
"0410006",494,88
"0410007",867,167
"0410008",382,460
"0410009",406,363
