CNTYVTD,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"0291049",258,674,11
"0291050",178,412,9
"0291051",298,519,7
"0291052",228,546,12
"0291053",26,64,2
"0291054",253,673,13
"0291055",372,640,37
"0291056",397,741,28
"0291057",422,428,28
"0291058",479,505,18
"0291059",57,77,4
"0291060",205,796,22
"0291061",188,651,15
"0291062",35,27,0
"0291063",371,362,15
"0291064",236,255,14
"0291065",431,484,31
"0291066",101,178,8
"0291067",761,540,25
"0291068",221,291,20
"0291069",147,148,9
"0291070",142,271,9
"0291071",320,528,19
"0291072",229,618,13
"0291073A",638,853,32
"0291073B",82,111,5
"0291074",5,4,0
"0291075",172,529,16
"0291076",450,785,29
"0291077",136,527,11
"0291078",34,163,4
"0291079",801,1467,62
"0291080A",417,1227,56
"0291080B",4,13,0
"0291081",567,281,22
"0291082",724,1351,58
"0291083",582,873,46
"0291084",243,479,15
"0291085",181,437,15
"0291086",364,709,13
"0291087",171,396,10
"0291088",79,254,5
"0291089",289,356,16
"0291090",0,0,0
"0291091",267,666,25
"0291092",69,243,4
"0291093",180,256,14
"0291094",242,494,32
"0291095",34,45,5
"0291096",2,7,0
"0291097",80,231,8
"0291098",54,265,9
"0291099",815,1553,56
"0291100",485,811,22
"0291101",0,0,0
"0291102",232,181,11
"0291103",126,105,6
"0291104",660,943,31
"0291105",85,145,7
"0291106",0,0,0
"0291107",469,631,12
"0291108",1304,1576,78
"0291109",2,1,0
"0291110",843,1302,60
"0291111",944,1460,67
"0291112",538,1224,45
"0291113",504,854,42
"0291114",0,0,0
"0291115",42,45,3
"0291116",287,288,10
"0291117",60,93,1
"0291118",576,639,43
"0291119",11,31,0
"0291120",7,32,0
"0291121",1137,1442,70
"0291122A",1009,1220,40
"0291122B",10,13,0
"0291122C",19,22,0
"0291123",121,126,1
"0291124",107,186,5
"0291125A",447,550,23
"0291125B",0,1,0
"0291125C",9,11,0
"0291126",0,0,0
"0291127",58,161,0
"0291128",196,342,20
"0291129",102,145,5
"0291130",0,0,0
"0291131",0,0,0
"0291132",0,2,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",54,80,3
"0291137",0,0,0
"0291138",57,157,7
"0291139",126,308,15
"0291140",204,338,15
"0291141",321,470,26
"0291142",235,533,22
"0291143",640,762,40
"0291144A",1051,583,20
"0291144B",66,36,1
"0291144C",52,29,0
"0291145",243,164,12
"0291146",41,33,2
"0292001",38,201,9
"0292002",75,352,8
"0292003",96,550,14
"0292004",145,743,11
"0292005",92,352,7
"0292006",0,5,0
"0292007",108,480,12
"0292008",70,280,9
"0292009",222,589,17
"0292010",255,409,33
"0292011",115,561,21
"0292012",79,390,8
"0292013",116,391,5
"0292014",129,378,9
"0292015",89,463,14
"0292016",44,322,6
"0292017",52,275,9
"0292018",118,407,9
"0292019",86,441,11
"0292020",108,689,15
"0292021",179,721,14
"0292022",95,406,12
"0292023",264,974,26
"0292024",193,517,20
"0292025",270,817,37
"0292026",331,752,22
"0292027",224,488,11
"0292028",372,866,26
"0292029",92,328,5
"0292030",97,400,8
"0292031",73,422,4
"0292032",39,158,4
"0292033",46,166,3
"0292034",54,205,10
"0292035",186,654,27
"0292036",334,760,29
"0292037",415,425,21
"0292038",294,523,15
"0292039",136,542,17
"0292040",303,765,32
"0292041",300,926,13
"0292042",125,452,14
"0292043",139,534,16
"0292044",198,572,19
"0292045",250,919,26
"0292046",326,876,22
"0292047",248,628,24
"0292048",124,511,22
"0292049",336,865,30
"0292050",269,596,14
"0292051",79,179,8
"0292052",86,297,7
"0292053",103,401,10
"0292054",214,889,27
"0292055",272,982,36
"0292056",149,446,18
"0292057",220,624,17
"0292058",264,620,24
"0292059",244,641,28
"0292060",167,455,16
"0292061",212,332,14
"0292062",200,370,15
"0292063A",320,196,10
"0292063B",360,218,11
"0292063C",12,7,1
"0292064",394,720,33
"0292065",658,1304,46
"0292066",1053,1122,58
"0292067",32,131,2
"0292068",995,1229,55
"0292069",456,871,39
"0292070",109,579,6
"0292071",48,185,3
"0292072",660,955,37
"0292073",145,368,17
"0292074",62,236,3
"0292075",49,270,11
"0292076",554,695,43
"0292077",577,712,38
"0292078",406,703,35
"0292079",25,177,5
"0292080",175,406,8
"0292081",126,275,14
"0292082",207,451,15
"0292083",85,309,9
"0292084",1126,934,60
"0292085",180,459,11
"0292086",720,982,37
"0292087",542,503,23
"0292088",711,1188,57
"0292089",30,117,4
"0292090",224,564,19
"0292091",352,913,38
"0292092",89,129,2
"0292093",200,312,8
"0292094",62,60,3
"0292095A",645,394,28
"0292095B",232,139,7
"0292096",268,696,27
"0292097",422,754,31
"0292098",203,378,17
"0292099",400,469,27
"0292100",201,363,16
"0292101",435,341,26
"0292102",628,791,29
"0292103",15,86,1
"0292104",15,87,0
"0292105",37,172,4
"0292106",71,143,10
"0292107",539,817,39
"0292108",366,335,14
"0292109",0,3,0
"0292110",249,334,22
"0292111",182,334,6
"0292112",366,542,20
"0292113",12,22,0
"0292114",316,645,43
"0292115",1165,1105,57
"0292116",0,2,0
"0292117",48,193,3
"0292118",0,13,0
"0292119",28,112,3
"0292120",250,307,22
"0292121",89,130,7
"0292122",152,512,22
"0292123",553,510,25
"0292124",181,234,5
"0292125",1220,1536,83
"0292126",235,392,13
"0292127",587,777,40
"0292128",146,594,18
"0292129",2,1,0
"0292130",414,671,30
"0292131",60,120,6
"0292132",0,1,0
"0292133",78,106,2
"0292134",153,361,17
"0292135",78,206,3
"0292136",922,1133,57
"0292137",200,343,15
"0292138",174,293,15
"0292139",455,555,33
"0292140",230,459,17
"0292141",290,428,24
"0292142",75,169,4
"0292143",489,568,23
"0292144",348,659,30
"0292145",85,118,5
"0292146",8,27,0
"0292147",89,139,5
"0292148",463,1124,62
"0292149",246,566,30
"0292150",0,3,0
"0292151",2,7,0
"0292152",51,195,15
"0292153",51,103,6
"0292154A",162,104,5
"0292154B",106,68,2
"0292155",1,0,0
"0292156",164,406,13
"0292157",0,0,0
"0292158",0,0,0
"0292159",40,61,3
"0292160",6,6,0
"0293001",1015,825,35
"0293002",625,669,34
"0293003",27,16,2
"0293004",0,1,0
"0293005",968,441,22
"0293006",362,333,14
"0293007",803,728,34
"0293008",44,17,1
"0293009",8,2,0
"0293010",102,174,3
"0293011",340,338,12
"0293012",438,188,8
"0293013",449,619,26
"0293014",151,168,5
"0293015",271,330,12
"0293016",69,60,1
"0293017A",1056,422,26
"0293017B",41,17,1
"0293018",657,578,35
"0293019",105,209,12
"0293020",772,968,51
"0293021",1166,553,37
"0293022",516,543,25
"0293023",561,783,37
"0293024",0,0,0
"0293025",601,547,31
"0293026",553,486,29
"0293027",503,444,28
"0293028",597,504,27
"0293029",321,403,23
"0293030",836,628,31
"0293031",6,9,0
"0293032",396,680,35
"0293033",890,461,23
"0293034",1420,396,30
"0293035",216,261,9
"0293036",726,1243,53
"0293037",718,875,47
"0293038",385,386,20
"0293039",1495,838,52
"0293040",610,640,28
"0293041",194,167,5
"0293042",872,618,29
"0293043",1119,513,40
"0293044",466,455,20
"0293045",619,389,20
"0293046",476,486,26
"0293047",630,630,25
