CNTYVTD,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"2010546",1307,355,18
"2010547",903,520,30
"2010548",452,695,17
"2010549",151,1082,14
"2010550",490,807,28
"2010551",2171,999,51
"2010552",1933,648,40
"2010553",430,866,22
"2010554",158,576,10
"2010555",139,654,6
"2010556",213,759,6
"2010557",379,809,15
"2010558",636,1578,36
"2010559",466,1760,48
"2010560",93,335,5
"2010561",815,558,19
"2010562",43,224,4
"2010563",1555,634,41
"2010564",347,1529,44
"2010565",72,295,8
"2010566",328,1027,37
"2010567",309,841,11
"2010568",1285,1012,43
"2010569",1008,1547,58
"2010570",227,707,26
"2010571",195,465,8
"2010572",625,1114,37
"2010573",18,586,5
"2010574",19,116,2
"2010575",1048,1079,35
"2010576",92,1148,12
"2010577",585,578,25
"2010578",716,641,36
"2010579",72,338,5
"2010580",21,359,1
"2010581",16,452,2
"2010582",52,548,4
"2010583",23,444,2
"2010584",33,354,4
"2010585",69,757,2
"2010586",1093,974,35
"2010587",407,1019,27
"2010588",1356,896,35
"2010589",766,1067,34
"2010590",1000,459,36
"2010591",223,652,10
"2010592",143,527,13
"2010593",855,1290,33
"2010594",348,1030,14
"2010595",99,612,10
"2010596",639,859,30
"2010597",506,1005,23
"2010598",793,1874,54
"2010599",503,1106,23
"2010600",644,1437,27
"2010601",1761,880,48
"2010602",543,310,9
"2010603",1339,1286,47
"2010604",1621,335,27
"2010605",424,1521,18
"2010606",11,331,1
"2010607",30,204,2
"2010608",56,126,3
"2010609",1332,1138,39
"2010610",357,640,13
"2010611",45,921,14
"2010612",1525,636,48
"2010613",189,953,14
"2010614",635,1560,28
"2010615",585,648,22
"2010616",1296,933,56
"2010617",580,1447,38
"2010618",719,1197,26
"2010619",2068,1075,80
"2010620",887,989,33
"2010621",241,406,16
"2010622",1225,1279,56
"2010623",1168,926,29
"2010624",306,126,6
"2010625",574,600,22
"2010626",1239,1447,63
"2010627",358,989,23
"2010628",371,747,12
"2010629",21,163,0
"2010630",231,2807,34
"2010631",1032,653,30
"2010632",1,2,0
"2010633",1606,984,52
"2010634",833,774,24
"2010635",1313,559,42
"2010636",2522,374,43
"2010637",323,1021,20
"2010638",83,849,12
"2010639",1032,385,21
"2010640",988,997,32
"2010641",1099,917,28
"2010642",850,326,25
"2010643",903,1243,35
"2010644",1259,1183,52
"2010645",856,1702,55
"2010646",306,820,13
"2010647",503,1125,17
"2010648",1328,763,36
"2010649",558,1516,25
"2010650",1589,961,51
"2010651",969,1098,37
"2010652",251,1287,15
"2010653",45,187,1
"2010654",1416,1480,46
"2010655",1111,1228,49
"2010656",75,1121,7
"2010657",247,538,13
"2010658",887,670,31
"2010659",2059,1069,27
"2010660",177,1540,16
"2010661",1089,1323,32
"2010662",1856,624,62
"2010663",688,895,48
"2010664",227,902,8
"2010665",1144,367,19
"2010666",0,0,0
"2010667",895,466,21
"2010668",1168,965,34
"2010669",1403,838,28
"2010670",1574,589,31
"2010671",839,873,39
"2010672",1148,693,30
"2010673",1325,420,34
"2010674",1808,853,40
"2010675",0,1,0
"2010676",462,878,30
"2010677",146,438,7
"2010678",117,1100,12
"2010679",1255,730,33
"2010680",36,75,5
"2010681",19,39,5
"2010682",1619,736,40
"2010683",30,100,0
"2010684",1086,898,37
"2010685",55,49,2
"2010686",15,61,1
"2010687",1055,712,22
"2010688",1930,723,46
"2010689",479,796,21
"2010690",1602,670,39
"2010691",1795,652,35
"2010692",1109,544,41
"2010693",75,295,9
"2010694",402,759,14
"2010695",417,335,20
"2010696",520,372,26
"2010697",389,1153,21
"2010698",173,1321,12
"2010699",855,643,26
"2010700",680,150,5
"2010701",91,165,4
"2010702",32,170,2
"2010703",809,416,36
"2010704",1442,431,32
"2010705",45,297,8
"2010706",518,912,24
"2010707",245,200,10
"2010708",62,138,2
"2010709",1137,1312,50
"2010710",615,807,40
"2010711",1070,1371,34
"2010712",646,1427,28
"2010713",422,600,16
"2010714",50,74,1
"2010715",291,407,7
"2010716",881,437,25
"2010717",125,899,12
"2010718",1762,1260,49
"2010719",347,353,2
"2010720",1657,1068,61
"2010721",1027,779,29
"2010722",160,1960,29
"2010723",187,804,14
"2010724",345,239,6
"2010725",398,656,10
"2010726",1195,213,13
"2010727",286,870,22
"2010728",264,254,14
"2010729",127,136,0
"2010730",865,709,33
"2010731A",583,956,24
"2010731B",284,466,8
"2010732",615,533,27
"2010733",22,66,2
"2010734",1663,1056,50
"2010735",138,128,4
"2010736",1,12,0
"2010737",16,11,0
"2010738",94,396,4
"2010739",473,624,21
"2010740",173,161,3
"2010741",256,772,5
"2010742",1064,806,17
"2010743",26,50,0
"2010744",662,615,27
"2010745",807,670,42
"2010746",135,200,10
"2010747",807,1341,33
"2010748",273,373,21
"2010749",26,99,0
"2010750",180,160,8
"2010751",2012,1622,52
"2010752",466,259,24
"2010753",98,171,2
"2010754",31,382,4
"2010755",831,1578,36
"2010756",251,591,9
"2010757",310,1913,23
"2010758",1858,726,46
"2010759",803,760,28
"2010760A",0,0,0
"2010760B",1026,327,26
"2010761",736,437,20
"2010762",585,797,20
"2010763",138,412,6
"2010764A",573,521,16
"2010764B",849,771,18
"2010765",669,1755,39
"2010766",40,135,3
"2010767",16,22,1
"2010768",1137,483,37
"2010769",11,66,2
"2010770",45,75,0
"2010771",230,366,13
"2010772",1966,1038,55
"2010773",597,1467,23
"2010774",34,126,3
"2010775",7,28,0
"2010776",886,783,31
"2010777",61,151,4
"2010778",0,0,0
"2010779",71,245,4
"2010780",86,157,0
"2010781",512,1044,25
"2010782",711,547,27
"2010783",21,267,4
"2010784",18,410,2
"2010785",881,1073,36
"2010786",129,352,8
"2010787",63,168,1
"2010788",2,1,0
"2010789",841,749,28
"2010790",416,963,18
"2010791",2,11,0
"2010792",205,643,13
"2010793",563,563,14
"2010794A",66,574,18
"2010794B",0,0,0
"2010795",145,393,3
"2010796",578,1001,23
"2010797",0,0,0
"2010798",120,222,3
"2010799",13,62,1
"2010800",1254,999,37
"2010801",42,87,1
"2010802",4,13,0
"2010803",1789,1045,57
"2010804",1498,1760,54
"2010805",1348,492,34
"2010806",769,569,27
"2010807",139,739,15
"2010808",50,199,10
"2010809",19,9,0
"2010810",10,45,0
"2010811",27,110,1
"2010812",0,0,0
"2010813",751,1267,29
"2010814",454,1802,28
"2010815",0,0,0
"2010816",6,14,1
"2010817",1960,1077,43
"2010818",48,203,4
"2010819",41,51,0
"2010820",0,0,0
"2010821",67,317,7
"2010822",31,586,3
"2010823",730,799,24
"2010824",243,1001,19
"2010825",4,7,0
"2010826",90,155,4
"2010827",102,239,6
"2010828",916,381,15
"2010829",22,45,0
"2010830",0,0,0
"2010831",3,7,0
"2010832",29,113,0
"2010833",1,5,0
"2010834",17,122,1
"2010835",29,80,3
"2010836",12,122,3
"2010837",0,3,0
"2010838",0,0,0
"2010839",87,384,10
"2010840",299,603,10
"2010841",390,1300,15
"2010842",569,979,19
"2010843",135,630,7
"2010844",0,5,0
"2010845",90,49,1
"2010846",9,72,0
"2010847",250,906,16
"2010848",288,786,15
"2010849",317,781,15
"2010850",44,87,1
"2010851",1367,843,41
"2010852",0,0,0
"2010853",1311,583,25
"2010854",6,56,1
"2010855",4,1,0
"2010856",0,0,0
"2010857",0,0,0
"2010858",5,134,0
"2010859",106,345,7
"2010860",0,0,0
"2010861",142,767,5
"2010862A",1043,863,34
"2010862B",65,54,2
"2010862C",91,75,3
"2010862D",0,0,0
"2010863",19,167,4
"2010864",218,793,15
"2010865",1,7,0
"2010866",0,0,0
"2010867",0,0,0
"2010868",250,748,12
"2010869",29,135,3
"2010870",0,0,0
"2010871",0,3,1
"2010872",6,7,0
"2010873",86,281,4
"2010874",1404,666,35
"2010875",975,1261,38
"2010876",1567,914,44
"2010877",736,1481,47
"2010878",613,247,9
"2010879",536,838,23
"2010880",1117,577,32
"2010881",784,2575,45
"2010882",630,1701,31
"2010883",351,2188,24
"2010884",22,144,1
"2010885",873,831,23
"2010886",202,298,15
"2010887",109,192,10
"2010888",314,739,22
"2010889",27,119,9
"2010890",247,550,20
"2010891",293,556,11
"2010892",141,491,24
"2010893",0,1,0
"2010894",127,906,7
"2010895",190,441,9
"2010896",336,895,14
"2010897",493,596,17
"2010898",322,665,30
"2010899",445,386,13
"2010900",1,6,0
"2010901",0,0,0
"2010902",794,1013,56
"2010903",1182,473,18
"2010904",0,0,0
"2010905",166,257,4
"2010906",8,10,2
"2010907",2,65,2
"2010908",0,2,0
"2010909",1,8,0
"2010910",22,50,0
"2010911",176,121,6
"2010912",450,333,12
"2010913",23,113,0
"2010914",9,25,1
"2010915",0,0,0
"2010916",1315,529,50
"2010917",4,21,0
"2010918",1,1,0
"2010919",0,0,0
"2010920",24,22,1
"2010921",3,23,0
"2010922",0,0,0
"2010923",1692,732,47
"2010924",0,0,0
"2010925",0,0,0
"2010926",429,240,12
"2010927",531,682,31
"2010928",0,3,0
"2010929",0,0,0
"2010930",13,167,1
"2010931",29,49,4
"2010932",0,0,0
"2010933",80,296,13
"2010934",3,5,0
"2010935",5,11,0
"2010936",8,13,0
"2010937",0,0,0
"2010938",25,79,1
"2010939",0,1,0
"2010940",1,8,0
"2010941",147,220,9
"2010942",70,50,2
"2010943",56,152,3
"2010944",0,1,0
"2010945",4,5,0
"2010946",3,3,0
"2010947",227,349,31
"2010948",0,0,0
"2010949",65,70,3
"2010950A",0,0,0
"2010950B",0,0,0
"2010951",26,116,1
"2010952",25,26,0
"2010953",0,2,0
"2010954",0,0,0
"2010955",2709,1554,54
"2010956",0,0,0
"2010957",39,260,3
"2010958",94,435,10
"2010959",0,0,0
"2010960",183,777,11
"2010961",146,789,7
"2010962",6,38,2
"2010963",125,205,4
"2010964",1354,1258,42
"2010965",82,27,2
"2010966",113,357,8
"2010967",16,60,1
"2010968",126,583,3
"2010969",7,317,2
"2010970",28,200,2
"2010971",0,0,0
"2010972",0,0,0
"2010973",337,317,19
"2010974",0,0,0
"2010975",53,66,3
"2010976",125,151,3
"2010977",84,152,3
"2010978",0,0,0
"2010979",0,0,0
"2010980",604,322,17
"2010981",0,15,0
"2010982",1974,905,59
"2010983",39,66,3
"2010984",9,86,2
"2010985",92,122,3
"2010986",24,139,1
"2010987",50,474,1
"2010988",54,12,0
"2010989",0,0,0
"2010990",6,5,0
"2010991",0,0,0
"2010992",224,305,8
"2010993",0,0,0
"2010994",22,71,1
"2010995",87,836,4
"2010996",203,201,2
"2010997",79,492,13
"2010998",19,14,2
"2010999",0,0,0
"2011000",23,123,0
"2011001",148,518,9
"2011002",86,465,12
"2011003",0,0,0
"2011004",169,268,16
"2011005",0,0,0
"2011006",0,0,0
"2011007",188,717,16
"2011008",497,156,15
"2011009",0,0,0
"2011010",73,387,10
"2011011",9,7,0
"2011012",200,557,7
"2030001",787,413,21
"2030002",269,521,8
"2030003",60,752,9
"2030004",495,343,16
"2030005",406,120,9
"2030006",574,181,18
"2030007",377,165,10
"2030008",1056,454,27
"2030009",512,254,11
"2030010",461,140,4
"2030011",172,100,4
"2030012",2146,460,37
"2030013",727,105,20
"2030014",584,178,16
"2030015",558,77,3
"2030016",275,61,1
"2030017",387,420,8
"2030018",373,97,6
"2030019",1376,343,37
"2030020",960,294,14
"2030021",266,137,2
"2030022",327,476,16
"2030023",300,19,2
"2030024",259,61,1
"2030025",1638,340,35
"2030026",245,61,3
"2050101",154,21,1
"2050102",97,5,1
"2050201",111,29,7
"2050202",271,28,2
"2050301",418,57,4
"2050401",330,50,9
"2070001",144,71,1
"2070002",230,97,2
"2070003",202,86,2
"2070004",83,45,3
"2070005",126,60,4
"2070006",130,39,2
"2070007",37,14,0
"2070008",44,32,0
"2070009",97,31,3
"2070010",65,22,0
"2090110",458,572,34
"2090111",50,140,8
"2090112",249,797,69
"2090113",550,1622,75
"2090120",545,2159,98
"2090125",495,878,47
"2090127",1193,1646,98
"2090129",907,1667,99
"2090221",1184,1469,103
"2090223",492,772,36
"2090224",2197,2161,134
"2090225",593,418,25
"2090226",932,893,59
"2090228",1612,2901,141
"2090229",240,549,22
"2090230",451,400,33
"2090232",776,496,44
"2090234",188,295,8
"2090236",495,320,23
"2090238",12,17,1
"2090301",0,0,0
"2090315",1219,939,57
"2090316",382,458,34
"2090317",53,190,13
"2090318",16,46,6
"2090330",239,746,32
"2090332",599,1531,104
"2090333",1577,1234,75
"2090334",350,1474,66
"2090335",1286,945,70
"2090336",888,1640,115
"2090337",1945,1476,101
"2090339",509,270,21
"2090413",92,510,21
"2090414",141,606,42
"2090415",225,966,51
"2090416",16,28,4
"2090417",487,547,35
"2090418",2,0,0
"2090419",508,551,37
"2090420",278,255,19
"2090421A",13,12,0
"2090421B",6,4,0
"2090440",824,564,42
"2090441A",1172,783,86
"2090441B",2,1,0
"2090442",877,1012,49
"2090443",2035,1698,127
"2090444",2317,1804,134
"2090447",620,680,56
"2090449",1502,985,86
"2110101",180,82,6
"2110201",201,68,10
"2110202",16,1,2
"2110301",239,127,19
"2110302",25,3,3
"2110303",62,14,1
"2110401",148,52,7
"2110402",58,23,2
"2130002",281,68,10
"2130003",178,360,11
"2130004",1301,478,41
"213001A",686,140,15
"213001M",677,297,21
"213001T",677,188,15
"213002E",880,215,28
"213003B",1221,231,26
"213003C",1931,428,38
"213003M",613,133,10
"213003N",827,153,12
"213004A",223,130,7
"213004W",479,107,6
"21301CR",1149,216,32
"21301MN",541,163,6
"21301TC",1099,270,24
"21303WS",631,118,20
"21304BV",375,96,8
"21304CC",675,202,18
"21304MS",114,138,6
"21304PF",228,50,6
"21304SE",1481,345,32
"2132GBN",1240,326,27
"2132GBS",794,181,16
"2132PSN",1206,309,23
"2132PSS",640,118,13
"2134NYL",490,70,5
"2150001",50,181,7
"2150002",270,458,16
"2150003",85,334,12
"2150004",445,1311,35
"2150005",126,628,16
"2150006",382,461,19
"2150007",538,841,32
"2150008",389,384,15
"2150009",522,848,24
"2150010",240,607,22
"2150011",124,795,18
"2150012",46,87,1
"2150013",589,1104,47
"2150014",170,426,7
"2150015",81,140,8
"2150016",161,1114,8
"2150017",162,687,5
"2150018",30,62,4
"2150019",48,53,3
"2150020",64,302,9
"2150021",45,107,2
"2150022",54,189,12
"2150023",211,578,16
"2150024",45,19,0
"2150025",386,650,18
"2150026",61,255,4
"2150027",70,243,4
"2150028",267,584,23
"2150029",145,194,3
"2150030",435,1108,43
"2150031",224,421,14
"2150032",265,664,30
"2150033",169,561,14
"2150034",121,280,7
"2150035",300,933,21
"2150036",360,1024,22
"2150037",118,262,7
"2150038",624,811,23
"2150039",135,526,10
"2150040",128,585,3
"2150041",189,769,27
"2150042",377,826,25
"2150043",398,1120,37
"2150044",59,278,4
"2150045",265,424,15
"2150046",33,79,3
"2150047",141,383,10
"2150048",239,808,26
"2150049",271,682,19
"2150050",205,742,21
"2150051",108,916,15
"2150052",806,1250,45
"2150053",701,1619,53
"2150054",338,402,13
"2150055",229,729,14
"2150056",278,790,20
"2150057",72,206,5
"2150058",358,793,13
"2150059",152,531,14
"2150060",314,687,25
"2150061",172,541,19
"2150062",834,851,31
"2150063",64,160,3
"2150064",97,522,9
"2150065",120,253,10
"2150066",151,342,13
"2150067",354,614,26
"2150068",349,819,29
"2150069",337,764,19
"2150070",147,397,3
"2150071A",9,33,2
"2150071B",4,14,1
"2150072",189,382,18
"2150073",757,700,30
"2150074",137,203,5
"2150075",17,16,0
"2150076",12,2,0
"2150077",181,478,16
"2150078",168,605,14
"2150079",92,343,6
"2150080",61,328,2
"2150081",799,1336,42
"2150082",0,3,0
"2150083",845,871,24
"2150084",120,255,10
"2150085",323,901,29
"2150086",116,166,1
"2150087",292,800,23
"2150088",304,1025,25
"2150089",1,4,0
"2150090",279,1546,17
"2150091",106,225,7
"2150092",20,65,2
"2150093",42,40,4
"2150094",179,481,16
"2150095",216,932,24
"2150096",616,768,36
"2150097A",256,604,15
"2150097B",16,38,1
"2150098",386,995,29
"2150099",368,1204,27
"2150100",252,895,22
"2150101",296,225,9
"2150102",289,240,12
"2150103",654,740,20
"2150104",250,615,21
"2150105",427,909,33
"2150106",932,1487,44
"2150107",319,734,26
"2150108",182,747,9
"2150109",286,906,38
"2150110",100,264,5
"2150111",393,664,20
"2150112",121,457,11
"2150113",563,978,31
"2150114",828,906,39
"2150115",312,818,17
"2150116",206,456,11
"2150117",272,1013,27
"2150118",242,490,19
"2150119",99,320,3
"2150120",228,637,6
"2150121",23,48,0
"2150122",218,882,18
"2150123",129,278,6
"2150124",290,397,17
"2150125",96,233,5
"2150126",230,434,8
"2150127",78,302,4
"2150128",176,598,17
"2150129",45,41,1
"2150130",189,226,7
"2150131",0,10,0
"2150132",70,259,9
"2150133",11,21,0
"2150134",559,558,27
"2150135",306,440,12
"2150136",306,477,16
"2150137",7,10,1
"2150138",24,114,4
"2150139",45,115,4
"2150140",1,5,0
"2150141",12,30,0
"2150142",3,9,0
"2150143",0,2,0
"2150144",7,4,1
"2150145",66,294,6
"2150146",79,450,13
"2150147",16,27,3
"2150148",10,15,0
"2150149",3,31,0
"2150150",149,267,8
"2150151",27,127,4
"2150152",378,575,13
"2150153",19,88,1
"2150154",248,640,15
"2150155",83,153,4
"2150156",159,592,22
"2150157",122,333,7
"2150158",383,804,26
"2150159",29,112,3
"2150160",70,84,5
"2150161",261,549,14
"2150162",15,27,1
"2150163",17,39,1
"2150164",394,455,17
"2150165",164,186,6
"2150166",86,118,7
"2150167",155,137,8
"2150168",80,110,2
"2150169",71,155,6
"2150170",40,221,2
"2150171",1,10,0
"2150172",8,8,0
"2150173",216,302,11
"2150174",68,266,8
"2150175",154,336,12
"2150176",114,308,6
"2150177A",45,132,4
"2150177B",11,30,1
"2150178",9,6,0
"2150179",32,88,0
"2150180",19,42,1
"2150181",331,163,6
"2150182",38,187,1
"2150183",54,135,3
"2150184",13,3,0
"2150185",0,0,0
"2150186",10,67,3
"2150187",284,635,10
"2150188",389,472,15
"2150189",78,292,12
"2150190",70,98,2
"2150191",60,112,2
"2150192",41,92,5
"2150193",44,104,4
"2150194A",255,393,12
"2150194B",30,46,1
"2150194C",13,19,1
"2150194D",22,34,1
"2150195",205,187,2
"2150196",183,214,8
"2150197",24,184,10
"2150198A",19,60,2
"2150198B",12,39,0
"2150198C",10,33,1
"2150198D",14,45,1
"2150198E",7,21,0
"2150198F",0,0,0
"2150199",513,670,30
"2150200",463,709,19
"2150201",256,325,14
"2150202",235,187,7
"2150203",567,955,24
"2150204",93,139,6
"2150205",18,52,3
"2150206",139,350,11
"2150207",504,679,25
"2150209",64,168,4
"2150210",24,106,3
"2150211",126,315,11
"2150212",96,91,8
"2150213",20,55,1
"2150215",138,269,6
"2150216",184,499,14
"2150217",13,47,2
"2150218",72,198,3
"2150219",100,260,10
"2150220",85,152,3
"2150221",177,349,12
"2150222",5,2,0
"2150223",91,103,2
"2150224",82,48,1
"2150225",26,86,3
"2150226",6,13,0
"2150227",167,786,18
"2150228",501,1808,48
"2150229",90,243,6
"2150230",115,146,5
"2150231",55,74,4
"2150232",100,274,11
"2150233",0,0,1
"2150234",236,841,13
"2150235",70,72,2
"2150236",158,138,6
"2150237",57,275,7
"2150238",21,24,1
"2150239",330,522,9
"2150240",107,210,8
"2150241",22,72,3
"2150242",6,7,0
"2150243",14,22,0
"2150244",106,174,4
"2150245A",17,56,1
"2150245B",2,10,0
"2150246",2,0,0
"2150247",23,38,3
"2150248",4,10,0
"2150249",59,96,3
"2150250",3,37,1
"2150251",0,6,0
"2150252",5,3,0
"2150253",52,113,2
"2150254",17,36,0
"2150255",37,60,2
"2150256",11,81,2
"2150257",28,173,5
"2170002",373,142,18
"2170003",242,275,13
"2170004",839,360,23
"2170005",241,47,2
"2170006",167,38,4
"2170007",239,85,6
"2170008",103,27,1
"2170009",161,44,4
"2170010",689,247,15
"2170012",357,63,2
"2170013",1148,211,22
"2170014",517,81,17
"2170015",170,37,1
"2170016",140,44,3
"2170018",86,13,2
"2170019",170,35,2
"2170020",424,97,9
"2170021",872,223,15
"2170022",724,163,6
"2170023",198,68,5
"2170024",472,172,6
"2170027",313,72,4
"2190011",310,90,5
"2190014",318,83,9
"2190015",181,30,7
"2190016",824,225,31
"2190021",643,222,19
"2190024",260,124,6
"2190032",515,202,18
"2190033",53,2,1
"2190035",51,30,3
"2190036",74,60,3
"2190043",163,24,3
"2190044",270,123,7
"2190045A",350,140,13
"2190045B",162,66,7
"2190046",242,70,5
"2210001",546,134,16
"2210002",1608,393,49
"2210003",1329,324,30
"2210004",1114,279,27
"2210005",1227,270,26
"2210007",535,126,9
"2210008",1290,309,33
"2210009",1996,457,56
"2210010",2355,547,68
"2210011",820,188,20
"2210012",756,183,13
"2210013",1535,392,36
"2210014",1586,421,36
"2210015",217,49,6
"2210016",2800,609,78
"2230001",886,297,18
"2230002",500,222,11
"2230003",613,280,12
"2230004",569,146,11
"2230005",226,38,6
"2230008",127,29,0
"2230011",322,100,4
"2230012",155,22,1
"2230013",350,103,5
"2230014",452,88,5
"2230016",523,99,2
"2230017",507,143,7
"223001A",703,238,9
"2230020",284,42,10
"2230023",130,23,1
"2230024",346,61,7
"2230025",163,34,3
"223002A",301,291,5
"2230036",423,63,10
"223003A",644,205,9
"223004A",690,256,16
"2250001",368,218,6
"2250002",559,225,4
"2250003",232,416,7
"2250004",689,246,11
"2250005",531,101,6
"2250006",416,159,10
"2250007",459,78,13
"2250008",194,44,0
"2250009",243,23,2
"2250010",147,34,2
"2250011",68,15,3
"2250012",76,10,1
"2250014",230,33,1
"2250015",124,34,2
"2250016",158,8,1
"2250017",171,12,1
"2250018",60,32,2
"2250019",273,75,1
"2250020",128,13,1
"2250021",149,47,2
"2250022",129,31,2
"2270011",232,194,10
"2270012",97,81,3
"2270013",78,64,6
"2270014",33,28,2
"2270016",20,18,1
"2270024",179,45,6
"2270025",494,123,14
"2270026",290,68,2
"2270032",39,13,0
"2270033",511,184,23
"2270034",468,167,13
"2270035",125,44,5
"2270037",0,0,0
"2270042",224,73,2
"2270045",241,86,11
"2270046",261,95,10
"2270103",37,28,3
"2270104",15,10,0
"2270105",0,0,0
"227012A",22,15,0
"2270205",534,134,16
"2270207",423,79,13
"2270208",70,10,0
"2270209",0,0,0
"2270304",176,58,4
"2270404",190,66,7
"2270405",80,21,2
"2270408",22,0,0
"2270409",254,21,6
"227207C",277,54,5
"2290001",147,92,14
"2290002",106,134,7
"2290004",93,52,2
"229003N",59,34,2
"229003S",58,56,1
"2310101",479,79,17
"2310102",540,137,9
"2310103",357,53,6
"2310104",462,95,7
"2310105",231,124,6
"2310106",536,297,15
"2310107",1036,463,33
"2310108",463,266,19
"2310109",533,142,11
"2310210",280,91,13
"2310211",290,79,5
"2310212",431,192,11
"2310213",451,71,8
"2310214",1268,260,26
"2310215",2253,562,53
"2310216",969,228,21
"2310217",762,146,22
"2310318",346,47,8
"2310319",784,143,11
"2310320",838,196,11
"2310321",531,131,18
"2310322",358,89,8
"2310323",1260,244,28
"2310324",948,280,21
"2310325",1257,323,21
"2310426",193,74,4
"2310427",579,716,34
"2310428",567,473,31
"2310429",178,79,5
"2310430",194,79,9
"2310431",189,80,3
"2310432",342,44,7
"2310433",219,589,28
"2310434",616,120,14
"2330011",854,116,34
"2330014",957,171,21
"2330021",1576,213,34
"2330023",137,25,10
"2330031",626,182,34
"2330033",653,98,16
"2330041",39,4,1
"2330042",614,191,17
"2350100",143,37,3
"2350200",139,31,5
"2350300",116,24,5
"2350400",176,42,5
"2370001",476,87,9
"2370002",517,67,7
"2370003",88,13,2
"2370004",400,72,6
"2370005",355,44,10
"2370006",545,103,3
"2390001",724,277,9
"2390002",908,161,8
"2390003",933,197,12
"2390004",161,24,2
"2390005",264,55,2
"2390006",224,71,4
"2390007",56,14,2
"2390008",242,41,3
"2390009",302,42,4
"2410001",22,9,2
"2410002",377,34,3
"2410003",472,89,11
"2410004",359,59,3
"2410005",80,15,2
"2410006",383,197,2
"2410007",198,146,4
"2410008",243,206,5
"2410009",884,129,14
"2410010",791,93,12
"2410011",238,32,2
"2410012",258,50,2
"2410013",220,57,3
"2410014",967,231,12
"2410015",1177,160,18
"2410016",124,9,1
"2410017",649,78,10
"2410019",948,272,13
"2410020",263,302,7
"2410021",509,278,12
"2430001",173,176,21
"2430002",117,100,8
"2430003",145,124,10
"2430004",69,40,7
"2430005",96,69,4
"2450001",64,716,6
"2450002",101,382,4
"2450003",47,811,5
"2450004",591,338,21
"2450005",383,439,9
"2450006",181,437,6
"2450007",298,420,12
"2450008",10,299,1
"2450009",1913,401,24
"2450010",45,206,4
"2450011",34,142,3
"2450012",5,225,2
"2450013",4,172,0
"2450014",32,570,4
"2450015",43,480,2
"2450016",21,140,4
"2450017",589,773,12
"2450018",16,690,4
"2450019",42,579,7
"2450020",46,422,7
"2450021",77,57,0
"2450022",808,1283,25
"2450023",307,937,9
"2450024",210,80,8
"2450025",900,266,17
"2450026",861,612,21
"2450027",342,385,13
"2450028",151,308,3
"2450029",824,135,17
"2450030",569,84,7
"2450031",618,95,13
"2450032",96,36,0
"2450033",730,363,10
"2450034",32,837,7
"2450035",400,82,5
"2450036",642,163,19
"2450037",1035,305,21
"2450038",1043,200,17
"2450039",18,937,6
"2450040",1283,273,29
"2450041",60,23,3
"2450042",1091,254,19
"2450043",919,270,14
"2450044",152,197,5
"2450045",131,335,4
"2450046",121,343,9
"2450047",154,423,7
"2450048",50,296,3
"2450049",25,140,0
"2450050",112,824,6
"2450051",11,138,2
"2450052",5,218,2
"2450053",41,560,4
"2450054",10,208,2
"2450055",6,157,2
"2450056",1464,335,33
"2450057",9,324,0
"2450058",24,11,0
"2450059",11,451,3
"2450060",1225,355,30
"2450061",436,355,10
"2450062",1041,495,37
"2450063",24,621,5
"2450064",83,349,6
"2450065",867,319,19
"2450066",598,191,17
"2450067",106,973,9
"2450068",698,587,22
"2450069",1211,408,39
"2450070",386,625,8
"2450071",40,11,2
"2450072",475,735,16
"2450073",1038,469,28
"2450074",1371,240,21
"2450075",46,336,8
"2450076",49,289,4
"2450077",33,569,4
"2450078",338,641,9
"2450079",754,465,19
"2450080",118,23,1
"2450081",11,323,0
"2450082",386,662,8
"2450083",542,131,10
"2450084",25,545,4
"2450085",81,671,3
"2450086",349,302,8
"2450087",71,459,5
"2450088",172,357,8
"2450089",54,142,2
"2450090",14,18,0
"2450091",352,59,3
"2450092",456,240,8
"2450093",51,253,7
"2450094",920,371,24
"2450095",179,104,6
"2450096",34,170,2
"2450097",0,0,0
"2450098",121,80,4
"2450099",85,216,5
"2450100",986,685,16
"2450101",1,0,0
"2450102",60,21,1
"2450103",16,3,0
"2450104",41,10,0
"2450105",17,54,3
"2450106",9,7,0
"2450107",1,0,0
"2450108",236,43,3
"2450109",96,27,0
"2470001",53,256,8
"2470002",125,269,1
"2470003",98,213,6
"2470004",80,289,4
"2470005",3,6,0
"2490001",52,121,3
"2490002",175,64,7
"2490003",471,157,8
"2490004",215,291,4
"2490005",33,78,1
"2490006",120,268,6
"2490007",659,506,12
"2490008",939,334,17
"2490009",77,147,1
"2490010",169,587,10
"2490011",100,189,6
"2490012",280,462,16
"2490013",34,135,1
"2490014",61,45,1
"2490015",244,345,14
"2490016",58,238,5
"2490017",244,415,15
"2490018",60,90,2
"2490019",121,31,3
"2490020",45,229,1
"2490022",150,414,9
"2510001",382,112,15
"2510002",2017,541,52
"2510003",1732,589,50
"2510004",2487,937,94
"2510005",1794,510,52
"2510006",260,51,5
"2510007",2860,888,73
"2510008",2090,1101,73
"2510009",519,101,8
"2510010",1256,431,45
"2510011",1818,417,41
"2510012",1307,319,26
"2510013",873,210,30
"2510014",214,47,7
"2510015",740,164,21
"2510016",263,79,6
"2510017",1072,419,32
"2510018",1449,525,34
"2510019",2542,833,77
