CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0294098",376,405,26
"0294099",205,324,25
"0294100",194,263,12
"0294101",285,184,17
"0294102",84,197,22
"0294103",0,0,0
"0294104",394,438,29
"0294105",560,428,34
"0294106",49,108,5
"0294107",351,348,13
"0294108",722,784,70
"0294109",142,232,9
"0294110",150,431,28
"0294111",8,108,1
"0294112",339,192,10
"0294113",46,246,8
"0294114A",12,9,0
"0294114B",1,1,0
"0294115",61,43,7
"0294116",16,13,1
"0294117",152,152,14
"0294118",40,4,1
"0294119",84,232,13
"0294120",28,51,5
"0294121",54,34,4
"0294122",14,36,1
"0294123",19,52,2
"0294124",159,572,22
"0294125",7,25,1
"0294126",423,259,16
"0294127",10,12,0
"0294128",36,55,5
"0294129",33,13,2
"0294130",149,194,15
"0294131",52,99,3
"0294132",397,687,28
"0294133",15,1,1
"0294134",2,2,0
"0294135",0,0,0
"0294136",128,52,4
"0294137",49,7,0
"0294138",2,2,0
"0294139",0,0,0
"0294140",0,0,0
"0294141",12,80,2
"0294142",32,189,7
"0294143",393,1100,43
"0294144",204,88,7
"0294145",4,2,0
"0294146",6,10,1
"0294147",63,76,10
"0294148",41,44,4
"0294149",63,104,7
"0294150",240,472,25
"0294151",234,48,9
"0294152",356,500,34
"0294153",26,23,1
"0294154",148,195,10
"0294155",279,1003,55
"0294156",116,312,14
"0294157",160,625,38
"0294158",79,154,11
"0294159",4,3,0
"0294160",206,503,19
"0294161",17,183,8
"0294162",468,542,39
"0294163",314,611,51
"0294164",790,461,36
"0294165",36,18,0
"0294166",44,71,4
"0294167",5,7,1
"0294168",304,590,28
"0294169",111,78,6
"0294170",63,99,7
"0294171",349,303,36
"0294172",261,274,31
"0294173",421,413,30
"0294174",245,344,25
"0294175",0,0,0
"0294176",314,226,12
"0294177",1,17,0
"0294178",0,2,0
"0294179",775,700,64
"0294180",2,0,0
"0294181",0,0,0
"0294182",1,0,0
"0294183",12,39,2
"0294184",0,9,1
"0294185",2,0,0
"0294186",19,37,3
"0294187",0,0,0
"0294188",0,1,0
"0294189",99,252,9
"0294190",0,2,0
"0294191",0,0,0
"0294192",0,0,0
"0294193",5,13,1
"0294194",133,150,18
"0294195",0,0,0
"0294196",0,0,0
"0294198",185,504,40
"0294199",180,302,17
"0294200",369,803,38
"0294201",7,2,0
"0294202",0,0,0
"0294203",40,139,8
"0294204",1,2,0
"0294205",28,27,2
"0294206",87,113,6
"0294207",14,2,0
"0294208",0,0,0
"0294209",23,4,0
"0294210",2,3,1
"0294211",2,18,0
"0294212",2,0,0
"0310102",1038,304,52
"0310201",1068,344,64
"0310302",528,238,34
"0310303",293,68,10
"0310304",132,54,6
"0310401",1073,390,60
"0330004",82,4,1
"033001A",35,3,0
"033001B",49,3,2
"033002A",66,5,1
"033002B",25,4,0
"033003A",15,1,0
"033003B",36,0,0
"0350001",370,51,11
"0350002",348,90,15
"0350003",498,88,26
"0350004",264,29,8
"0350005",690,158,26
"0350006",588,113,27
