CNTYVTD,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"2010537",1577,638,32
"2010538",16,415,4
"2010539",398,435,21
"2010540",457,1014,27
"2010541",382,2146,37
"2010542",98,1206,13
"2010543",187,572,15
"2010544",9,94,5
"2010545",1076,1291,52
"2010546",1351,296,28
"2010547",923,479,44
"2010548",464,674,28
"2010549",163,1074,9
"2010550",489,802,29
"2010551",2277,840,78
"2010552",1943,573,82
"2010553",434,851,32
"2010554",151,568,17
"2010555",139,652,11
"2010556",219,754,6
"2010557",381,804,16
"2010558",639,1554,52
"2010559",470,1746,58
"2010560",86,339,6
"2010561",818,541,26
"2010562",34,234,3
"2010563",1619,557,47
"2010564",377,1479,48
"2010565",75,291,8
"2010566",329,1017,37
"2010567",324,820,15
"2010568",1358,910,48
"2010569",1097,1443,64
"2010570",255,668,30
"2010571",195,465,6
"2010572",647,1067,57
"2010573",15,585,7
"2010574",17,116,4
"2010575",1063,1024,61
"2010576",84,1143,19
"2010577",656,495,29
"2010578",787,551,35
"2010579",76,338,6
"2010580",18,362,2
"2010581",15,449,2
"2010582",50,550,7
"2010583",23,441,5
"2010584",32,351,8
"2010585",65,752,10
"2010586",1070,973,53
"2010587",390,1033,28
"2010588",1349,871,63
"2010589",761,1059,40
"2010590",1053,375,56
"2010591",221,653,9
"2010592",140,527,12
"2010593",859,1267,52
"2010594",359,1006,27
"2010595",101,607,13
"2010596",634,854,32
"2010597",503,998,31
"2010598",787,1858,67
"2010599",517,1083,35
"2010600",640,1431,36
"2010601",1779,821,82
"2010602",560,284,16
"2010603",1337,1252,80
"2010604",1601,298,80
"2010605",419,1510,30
"2010606",13,327,2
"2010607",25,205,5
"2010608",56,127,2
"2010609",1350,1094,55
"2010610",360,629,22
"2010611",46,924,12
"2010612",1557,559,82
"2010613",194,942,16
"2010614",647,1538,30
"2010615",582,634,37
"2010616",1320,870,78
"2010617",579,1433,49
"2010618",736,1177,33
"2010619",2111,987,102
"2010620",939,926,43
"2010621",241,402,21
"2010622",1265,1207,78
"2010623",1199,866,56
"2010624",311,116,9
"2010625",600,549,39
"2010626",1326,1320,89
"2010627",352,986,31
"2010628",374,739,16
"2010629",23,160,1
"2010630",246,2777,41
"2010631",1043,622,39
"2010632",1,2,0
"2010633",1672,885,61
"2010634",831,756,45
"2010635",1298,531,83
"2010636",2526,321,89
"2010637",322,999,29
"2010638",92,832,18
"2010639",1047,341,45
"2010640",970,984,59
"2010641",1090,886,56
"2010642",879,292,28
"2010643",916,1206,55
"2010644",1276,1134,73
"2010645",881,1633,86
"2010646",319,804,14
"2010647",493,1129,17
"2010648",1352,694,64
"2010649",545,1520,36
"2010650",1611,900,68
"2010651",994,1051,55
"2010652",265,1271,17
"2010653",46,183,3
"2010654",1418,1437,79
"2010655",1145,1163,65
"2010656",66,1117,13
"2010657",246,531,19
"2010658",877,647,54
"2010659",2036,1008,93
"2010660",190,1523,16
"2010661",1096,1285,55
"2010662",1932,541,57
"2010663",763,796,56
"2010664",225,900,10
"2010665",1171,315,40
"2010666",0,0,0
"2010667",960,392,27
"2010668",1172,916,76
"2010669",1454,762,42
"2010670",1612,515,54
"2010671",844,838,58
"2010672",1147,667,48
"2010673",1358,362,48
"2010674",1810,793,85
"2010675",0,1,0
"2010676",461,874,31
"2010677",141,435,14
"2010678",118,1087,16
"2010679",1299,659,52
"2010680",38,72,4
"2010681",19,38,4
"2010682",1640,690,51
"2010683",29,99,2
"2010684",1098,858,52
"2010685",58,42,5
"2010686",15,57,4
"2010687",1102,638,32
"2010688",1989,611,83
"2010689",486,773,28
"2010690",1618,607,70
"2010691",1818,591,63
"2010692",1132,496,54
"2010693",83,284,9
"2010694",403,743,26
"2010695",418,322,27
"2010696",522,353,37
"2010697",376,1152,29
"2010698",186,1302,20
"2010699",890,588,35
"2010700",671,140,21
"2010701",87,161,8
"2010702",29,171,3
"2010703",848,371,40
"2010704",1471,365,50
"2010705",41,300,7
"2010706",528,882,35
"2010707",267,178,7
"2010708",58,143,2
"2010709",1178,1247,62
"2010710",687,724,38
"2010711",1110,1291,52
"2010712",642,1412,50
"2010713",436,567,31
"2010714",46,75,2
"2010715",287,405,11
"2010716",886,410,39
"2010717",129,892,14
"2010718",1859,1140,57
"2010719",345,341,11
"2010720",1695,997,88
"2010721",1059,704,58
"2010722",171,1938,29
"2010723",193,787,18
"2010724",353,220,13
"2010725",421,623,18
"2010726",1194,188,33
"2010727",303,846,24
"2010728",272,245,11
"2010729",125,133,4
"2010730",944,610,39
"2010731A",578,935,33
"2010731B",284,459,17
"2010732",624,498,37
"2010733",20,69,1
"2010734",1651,1017,89
"2010735",140,123,8
"2010736",0,12,0
"2010737",16,10,0
"2010738",92,393,3
"2010739",461,617,30
"2010740",179,155,2
"2010741",254,768,11
"2010742",1086,761,33
"2010743",25,49,1
"2010744",680,582,32
"2010745",806,636,66
"2010746",141,194,9
"2010747",809,1303,52
"2010748",271,357,34
"2010749",28,96,0
"2010750",178,160,9
"2010751",2017,1546,104
"2010752",475,245,27
"2010753",99,166,4
"2010754",26,385,8
"2010755",829,1556,52
"2010756",248,580,10
"2010757",327,1890,32
"2010758",1895,643,87
"2010759",824,731,34
"2010760A",0,0,0
"2010760B",1058,278,37
"2010761",787,372,26
"2010762",591,781,28
"2010763",145,406,4
"2010764A",580,492,28
"2010764B",861,734,37
"2010765",659,1739,65
"2010766",43,134,2
"2010767",16,22,1
"2010768",1181,413,47
"2010769",10,65,2
"2010770",43,76,1
"2010771",228,363,16
"2010772",2078,898,79
"2010773",595,1457,28
"2010774",33,127,3
"2010775",6,29,0
"2010776",869,752,66
"2010777",61,150,4
"2010778",0,0,0
"2010779",70,244,3
"2010780",88,154,0
"2010781",506,1037,23
"2010782",723,526,24
"2010783",25,266,2
"2010784",14,414,2
"2010785",897,1041,51
"2010786",121,359,9
"2010787",56,168,5
"2010788",2,1,0
"2010789",872,706,28
"2010790",415,950,33
"2010791",2,11,0
"2010792",204,640,10
"2010793",554,556,22
"2010794A",64,578,15
"2010794B",0,0,0
"2010795",140,385,12
"2010796",583,985,37
"2010797",0,0,0
"2010798",115,224,4
"2010799",11,62,2
"2010800",1274,938,65
"2010801",42,86,2
"2010802",3,13,1
"2010803",1851,960,68
"2010804",1535,1712,69
"2010805",1357,431,68
"2010806",773,539,44
"2010807",153,716,20
"2010808",69,180,6
"2010809",19,8,1
"2010810",9,45,1
"2010811",29,105,2
"2010812",0,0,0
"2010813",738,1260,46
"2010814",446,1796,39
"2010815",0,0,0
"2010816",5,16,0
"2010817",2024,982,58
"2010818",56,194,5
"2010819",46,44,1
"2010820",0,0,0
"2010821",62,318,8
"2010822",39,578,2
"2010823",747,770,35
"2010824",248,990,25
"2010825",5,6,0
"2010826",109,131,6
"2010827",103,241,4
"2010828",954,308,34
"2010829",22,45,0
"2010830",0,0,0
"2010831",3,7,0
"2010832",29,111,1
"2010833",1,5,0
"2010834",16,122,1
"2010835",27,86,1
"2010836",10,123,2
"2010837",0,3,0
"2010838",0,0,0
"2010839",94,378,7
"2010840",299,592,18
"2010841",371,1302,27
"2010842",566,966,34
"2010843",133,630,8
"2010844",0,5,0
"2010845",87,49,2
"2010846",11,69,1
"2010847",248,895,23
"2010848",297,763,18
"2010849",311,791,13
"2010850",47,84,1
"2010851",1362,806,66
"2010852",0,0,0
"2010853",1347,512,47
"2010854",10,52,3
"2010855",4,1,0
"2010856",0,0,0
"2010857",0,0,0
"2010858",6,131,1
"2010859",98,353,4
"2010860",0,0,0
"2010861",147,759,8
"2010862A",1074,813,48
"2010862B",68,52,3
"2010862C",93,71,5
"2010862D",0,0,0
"2010863",18,170,2
"2010864",223,779,15
"2010865",0,9,0
"2010866",0,0,0
"2010867",0,0,0
"2010868",246,733,21
"2010869",31,133,2
"2010870",0,0,0
"2010871",0,3,1
"2010872",6,7,0
"2010873",90,273,6
"2010874",1432,610,56
"2010875",976,1245,44
"2010876",1616,838,65
"2010877",745,1463,51
"2010878",622,226,18
"2010879",542,818,36
"2010880",1174,512,36
"2010881",780,2566,51
"2010882",652,1663,40
"2010883",361,2162,34
"2010884",23,142,3
"2010885",886,788,40
"2010886",222,271,12
"2010887",117,182,10
"2010888",325,723,27
"2010889",39,109,5
"2010890",288,504,18
"2010891",316,530,16
"2010892",159,475,23
"2010893",0,1,0
"2010894",138,893,15
"2010895",255,368,10
"2010896",387,829,23
"2010897",486,590,26
"2010898",331,659,28
"2010899",461,365,17
"2010900",1,6,0
"2010901",0,0,0
"2010902",867,903,68
"2010903",1196,437,38
"2010904",0,0,0
"2010905",166,251,6
"2010906",12,7,0
"2010907",3,65,1
"2010908",0,2,0
"2010909",1,8,0
"2010910",22,49,0
"2010911",172,119,13
"2010912",466,306,14
"2010913",24,109,1
"2010914",8,25,1
"2010915",0,0,0
"2010916",1339,479,70
"2010917",3,20,1
"2010918",1,1,0
"2010919",0,0,0
"2010920",25,21,1
"2010921",3,23,0
"2010922",0,0,0
"2010923",1751,666,52
"2010924",0,0,0
"2010925",0,0,0
"2010926",429,222,26
"2010927",593,597,39
"2010928",0,3,0
"2010929",0,0,0
"2010930",11,166,4
"2010931",43,38,1
"2010932",0,0,0
"2010933",89,286,13
"2010934",2,5,0
"2010935",7,8,0
"2010936",8,14,0
"2010937",0,0,0
"2010938",25,77,3
"2010939",0,1,0
"2010940",1,8,0
"2010941",151,206,13
"2010942",76,42,4
"2010943",57,147,7
"2010944",0,1,0
"2010945",1,8,0
"2010946",3,3,0
"2010947",266,322,17
"2010948",0,0,0
"2010949",64,69,4
"2010950A",0,0,0
"2010950B",0,0,0
"2010951",27,117,0
"2010952",30,19,1
"2010953",0,2,0
"2010954",0,0,0
"2010955",2795,1410,91
"2010956",0,0,0
"2010957",38,261,2
"2010958",90,441,6
"2010959",0,0,0
"2010960",181,774,15
"2010961",148,789,7
"2010962",5,40,1
"2010963",121,208,6
"2010964",1390,1197,52
"2010965",82,27,4
"2010966",117,355,8
"2010967",15,60,1
"2010968",122,584,8
"2010969",10,312,3
"2010970",29,200,3
"2010971",0,0,0
"2010972",0,0,0
"2010973",374,266,30
"2010974",0,0,0
"2010975",56,61,5
"2010976",126,147,6
"2010977",83,148,5
"2010978",0,0,0
"2010979",0,0,0
"2010980",621,295,22
"2010981",0,15,0
"2010982",2036,808,83
"2010983",39,66,2
"2010984",6,85,5
"2010985",100,115,3
"2010986",25,139,1
"2010987",45,472,6
"2010988",52,9,5
"2010989",0,0,0
"2010990",7,5,0
"2010991",0,0,0
"2010992",225,296,10
"2010993",0,0,0
"2010994",24,70,0
"2010995",93,828,8
"2010996",210,181,11
"2010997",73,500,10
"2010998",20,14,1
"2010999",0,0,0
"2011000",23,121,1
"2011001",153,517,6
"2011002",87,467,9
"2011003",0,0,0
"2011004",199,240,9
"2011005",0,0,0
"2011006",0,0,0
"2011007",179,721,16
"2011008",499,146,19
"2011009",0,0,0
"2011010",69,391,10
"2011011",9,7,0
"2011012",204,552,8
"2030001",824,347,35
"2030002",270,502,14
"2030003",73,732,13
"2030004",520,311,15
"2030005",421,105,10
"2030006",607,135,30
"2030007",382,152,17
"2030008",1134,347,45
"2030009",519,234,15
"2030010",470,116,15
"2030011",180,92,5
"2030012",2235,321,73
"2030013",736,82,28
"2030014",590,154,27
"2030015",571,55,11
"2030016",273,54,9
"2030017",410,378,22
"2030018",403,63,8
"2030019",1404,291,53
"2030020",969,267,26
"2030021",261,123,17
"2030022",347,445,20
"2030023",282,16,15
"2030024",255,55,9
"2030025",1676,266,57
"2030026",261,43,4
"2050101",156,17,5
"2050102",94,4,4
"2050201",133,11,4
"2050202",278,17,3
"2050301",427,34,11
"2050401",335,44,6
"2070001",163,38,9
"2070002",262,56,5
"2070003",219,58,7
"2070004",97,31,6
"2070005",142,37,4
"2070006",148,17,2
"2070007",42,5,0
"2070008",49,21,1
"2070009",107,18,7
"2070010",71,11,0
"2090110",443,568,42
"2090111",54,132,11
"2090112",258,793,56
"2090113",576,1565,91
"2090120",557,2109,105
"2090125",512,835,66
"2090127",1237,1550,139
"2090129",936,1603,124
"2090221",1275,1318,133
"2090223",514,726,51
"2090224",2295,1945,215
"2090225",635,364,29
"2090226",993,792,89
"2090228",1706,2706,219
"2090229",241,538,30
"2090230",478,362,40
"2090232",831,426,56
"2090234",180,280,27
"2090236",513,285,37
"2090238",14,15,1
"2090301",0,0,0
"2090315",1290,837,65
"2090316",406,420,44
"2090317",58,183,15
"2090318",21,42,4
"2090330",273,682,48
"2090332",646,1455,105
"2090333",1625,1103,129
"2090334",376,1440,57
"2090335",1317,845,115
"2090336",968,1510,135
"2090337",2070,1263,150
"2090339",534,234,29
"2090413",102,498,17
"2090414",149,600,42
"2090415",244,943,57
"2090416",14,29,4
"2090417",525,504,37
"2090418",2,0,0
"2090419",537,501,45
"2090420",298,224,22
"2090421A",17,8,0
"2090421B",8,3,0
"2090440",855,503,66
"2090441A",1208,706,125
"2090441B",2,1,0
"2090442",945,892,94
"2090443",2179,1484,168
"2090444",2457,1584,181
"2090447",618,646,80
"2090449",1582,859,119
"2110101",227,34,2
"2110201",235,34,5
"2110202",17,1,0
"2110301",352,27,10
"2110302",29,1,0
"2110303",66,8,3
"2110401",190,12,9
"2110402",70,10,2
"2130002",276,65,14
"2130003",185,350,11
"2130004",1424,338,47
"213001A",693,129,24
"213001M",736,245,22
"213001T",694,160,24
"213002E",933,149,33
"213003B",1251,172,45
"213003C",1990,344,58
"213003M",626,113,15
"213003N",815,147,29
"213004A",226,123,12
"213004W",496,81,14
"21301CR",1152,178,62
"21301MN",544,142,23
"21301TC",1108,235,45
"21303WS",629,104,30
"21304BV",386,79,12
"21304CC",680,198,21
"21304MS",112,135,10
"21304PF",234,46,5
"21304SE",1513,294,48
"2132GBN",1255,286,44
"2132GBS",807,158,25
"2132PSN",1231,271,35
"2132PSS",649,102,19
"2134NYL",494,52,14
"2150001",55,175,7
"2150002",302,437,13
"2150003",96,320,10
"2150004",512,1248,28
"2150005",155,603,16
"2150006",415,431,14
"2150007",589,781,39
"2150008",431,339,17
"2150009",565,798,34
"2150010",263,596,15
"2150011",154,770,14
"2150012",49,83,3
"2150013",655,1033,50
"2150014",183,402,17
"2150015",82,139,8
"2150016",159,1112,17
"2150017",177,667,9
"2150018",33,58,6
"2150019",52,50,4
"2150020",69,294,11
"2150021",47,102,4
"2150022",69,179,8
"2150023",243,548,17
"2150024",47,17,0
"2150025",420,615,16
"2150026",73,238,7
"2150027",69,242,3
"2150028",280,570,24
"2150029",151,180,13
"2150030",469,1068,50
"2150031",255,386,14
"2150032",325,627,13
"2150033",181,545,18
"2150034",142,255,9
"2150035",354,886,20
"2150036",403,976,25
"2150037",121,259,10
"2150038",648,779,25
"2150039",148,509,16
"2150040",142,567,10
"2150041",214,752,22
"2150042",394,810,26
"2150043",444,1081,35
"2150044",69,269,3
"2150045",277,417,12
"2150046",32,80,3
"2150047",158,368,9
"2150048",265,788,20
"2150049",301,644,19
"2150050",233,723,19
"2150051",115,903,23
"2150052",864,1179,64
"2150053",764,1564,52
"2150054",370,360,18
"2150055",251,714,18
"2150056",312,757,23
"2150057",83,199,6
"2150058",400,758,13
"2150059",178,501,16
"2150060",351,654,21
"2150061",192,524,16
"2150062",920,757,42
"2150063",71,153,4
"2150064",115,499,12
"2150065",133,237,12
"2150066",164,336,10
"2150067",403,569,20
"2150068",385,779,35
"2150069",367,729,23
"2150070",165,376,3
"2150071A",8,36,2
"2150071B",3,14,1
"2150072",196,380,12
"2150073",811,639,37
"2150074",139,202,5
"2150075",17,14,1
"2150076",11,3,0
"2150077",196,472,7
"2150078",185,585,12
"2150079",96,333,11
"2150080",67,319,7
"2150081",869,1268,42
"2150082",0,3,0
"2150083",925,781,34
"2150084",122,254,10
"2150085",361,869,33
"2150086",122,158,4
"2150087",313,773,30
"2150088",344,980,32
"2150089",1,4,0
"2150090",308,1518,21
"2150091",105,220,9
"2150092",24,61,1
"2150093",47,35,3
"2150094",182,478,20
"2150095",238,912,19
"2150096",666,713,45
"2150097A",269,582,19
"2150097B",17,37,1
"2150098",422,956,36
"2150099",397,1182,32
"2150100",280,869,28
"2150101",319,204,13
"2150102",288,236,13
"2150103",691,692,34
"2150104",250,615,27
"2150105",473,864,38
"2150106",1003,1384,79
"2150107",332,704,42
"2150108",228,702,10
"2150109",319,871,37
"2150110",112,252,5
"2150111",439,615,24
"2150112",145,433,13
"2150113",616,915,37
"2150114",885,835,48
"2150115",357,777,19
"2150116",213,441,17
"2150117",290,998,25
"2150118",292,452,10
"2150119",105,313,6
"2150120",242,618,15
"2150121",23,46,1
"2150122",239,865,15
"2150123",138,269,10
"2150124",309,373,24
"2150125",103,226,5
"2150126",244,414,12
"2150127",92,291,4
"2150128",178,595,15
"2150129",47,38,1
"2150130",199,218,6
"2150131",0,10,0
"2150132",75,247,14
"2150133",11,20,0
"2150134",603,508,35
"2150135",326,412,18
"2150136",315,470,22
"2150137",9,8,1
"2150138",27,112,4
"2150139",53,103,6
"2150140",1,5,0
"2150141",12,29,0
"2150142",3,8,0
"2150143",1,1,0
"2150144",7,5,0
"2150145",74,288,6
"2150146",92,437,15
"2150147",18,27,1
"2150148",8,15,2
"2150149",7,27,0
"2150150",155,261,7
"2150151",22,127,8
"2150152",416,523,28
"2150153",18,89,1
"2150154",269,619,14
"2150155",91,147,3
"2150156",176,575,19
"2150157",142,314,10
"2150158",392,792,37
"2150159",29,110,3
"2150160",74,77,10
"2150161",285,528,12
"2150162",18,25,1
"2150163",18,37,1
"2150164",426,420,22
"2150165",162,182,13
"2150166",94,110,9
"2150167",162,120,13
"2150168",84,99,8
"2150169",80,151,3
"2150170",48,215,1
"2150171",2,9,0
"2150172",8,8,0
"2150173",225,291,12
"2150174",74,266,7
"2150175",167,325,14
"2150176",131,293,5
"2150177A",45,133,4
"2150177B",11,31,1
"2150178",9,7,0
"2150179",37,85,0
"2150180",20,42,1
"2150181",339,146,9
"2150182",51,171,5
"2150183",55,132,4
"2150184",13,4,0
"2150185",0,0,0
"2150186",14,60,4
"2150187",305,609,16
"2150188",405,448,22
"2150189",90,283,8
"2150190",72,95,4
"2150191",62,111,5
"2150192",41,94,2
"2150193",56,94,2
"2150194A",269,371,13
"2150194B",32,42,1
"2150194C",13,18,1
"2150194D",23,32,1
"2150195",218,175,4
"2150196",183,206,14
"2150197",31,183,6
"2150198A",20,58,3
"2150198B",13,37,1
"2150198C",11,32,1
"2150198D",15,43,2
"2150198E",7,20,1
"2150198F",0,0,0
"2150199",560,619,33
"2150200",499,661,25
"2150201",278,304,12
"2150202",245,176,10
"2150203",616,893,36
"2150204",99,129,11
"2150205",19,53,1
"2150206",171,320,10
"2150207",540,644,31
"2150209",69,164,4
"2150210",28,101,3
"2150211",138,304,9
"2150212",105,83,6
"2150213",22,53,1
"2150215",151,251,10
"2150216",202,478,17
"2150217",14,47,1
"2150218",71,188,12
"2150219",106,255,11
"2150220",91,146,5
"2150221",197,330,14
"2150222",5,2,0
"2150223",107,89,2
"2150224",94,37,0
"2150225",25,84,5
"2150226",7,12,0
"2150227",179,772,18
"2150228",549,1758,49
"2150229",94,238,8
"2150230",121,137,9
"2150231",54,72,7
"2150232",102,264,15
"2150233",0,0,1
"2150234",264,817,12
"2150235",75,66,3
"2150236",165,124,15
"2150237",62,271,7
"2150238",22,24,0
"2150239",341,511,13
"2150240",114,203,8
"2150241",25,68,4
"2150242",6,6,0
"2150243",17,19,0
"2150244",105,174,6
"2150245A",18,54,2
"2150245B",2,10,0
"2150246",1,1,0
"2150247",24,39,2
"2150248",4,9,0
"2150249",58,95,6
"2150250",4,35,2
"2150251",2,4,0
"2150252",7,1,0
"2150253",62,106,1
"2150254",18,35,1
"2150255",36,60,2
"2150256",13,79,2
"2150257",35,172,1
"2170002",385,123,26
"2170003",258,262,9
"2170004",923,267,32
"2170005",239,37,13
"2170006",170,33,5
"2170007",268,49,10
"2170008",111,16,1
"2170009",148,40,19
"2170010",689,216,45
"2170012",360,52,10
"2170013",1136,182,52
"2170014",526,56,24
"2170015",174,27,5
"2170016",146,33,5
"2170018",90,9,1
"2170019",167,29,6
"2170020",438,64,22
"2170021",897,171,32
"2170022",714,144,32
"2170023",190,72,9
"2170024",473,154,21
"2170027",307,68,12
"2190011",343,48,11
"2190014",329,52,24
"2190015",185,16,14
"2190016",887,139,42
"2190021",678,169,32
"2190024",324,53,13
"2190032",549,161,21
"2190033",49,3,4
"2190035",57,22,5
"2190036",70,59,7
"2190043",165,19,5
"2190044",288,92,14
"2190045A",377,105,14
"2190045B",178,50,8
"2190046",246,53,16
"2210001",558,111,18
"2210002",1639,317,74
"2210003",1359,261,56
"2210004",1131,225,43
"2210005",1261,215,39
"2210007",559,91,15
"2210008",1319,248,53
"2210009",2034,368,94
"2210010",2421,421,104
"2210011",837,149,31
"2210012",770,148,29
"2210013",1570,314,58
"2210014",1640,338,65
"2210015",218,43,12
"2210016",2873,473,105
"2230001",929,238,30
"2230002",526,196,11
"2230003",659,227,18
"2230004",615,89,21
"2230005",243,23,4
"2230008",130,24,2
"2230011",340,76,5
"2230012",165,15,2
"2230013",371,83,4
"2230014",454,71,13
"2230016",535,76,8
"2230017",539,107,11
"223001A",772,156,15
"2230020",286,39,9
"2230023",133,16,3
"2230024",356,39,8
"2230025",174,26,4
"223002A",308,274,8
"2230036",428,51,16
"223003A",677,162,14
"223004A",737,202,19
"2250001",379,193,15
"2250002",561,213,11
"2250003",243,402,6
"2250004",685,225,26
"2250005",527,91,14
"2250006",419,141,18
"2250007",464,59,22
"2250008",194,37,6
"2250009",238,19,7
"2250010",148,28,5
"2250011",69,13,4
"2250012",74,11,1
"2250014",232,27,4
"2250015",128,31,1
"2250016",154,9,3
"2250017",162,15,4
"2250018",61,32,1
"2250019",264,72,7
"2250020",129,8,3
"2250021",154,38,3
"2250022",125,32,4
"2270011",222,193,18
"2270012",96,80,8
"2270013",76,63,9
"2270014",32,28,3
"2270016",20,18,1
"2270024",179,35,13
"2270025",495,99,34
"2270026",290,53,14
"2270032",40,11,2
"2270033",519,162,40
"2270034",475,140,24
"2270035",125,38,11
"2270037",0,0,0
"2270042",222,67,7
"2270045",239,80,16
"2270046",258,89,19
"2270103",35,28,7
"2270104",14,10,0
"2270105",0,0,0
"227012A",19,15,0
"2270205",535,107,35
"2270207",429,56,29
"2270208",71,5,3
"2270209",0,0,0
"2270304",176,51,8
"2270404",188,62,14
"2270405",80,19,3
"2270408",22,0,0
"2270409",250,17,9
"227207C",279,39,14
"2290001",130,101,16
"2290002",102,128,9
"2290004",88,54,5
"229003N",55,33,9
"229003S",56,50,5
"2310101",491,59,11
"2310102",556,105,20
"2310103",345,45,23
"2310104",459,81,14
"2310105",228,113,15
"2310106",555,261,19
"2310107",1084,381,42
"2310108",473,244,22
"2310109",567,101,14
"2310210",283,83,12
"2310211",296,63,9
"2310212",448,163,15
"2310213",448,50,22
"2310214",1285,208,44
"2310215",2292,463,93
"2310216",992,186,28
"2310217",769,130,25
"2310318",349,39,10
"2310319",783,110,36
"2310320",856,161,25
"2310321",543,104,25
"2310322",357,77,20
"2310323",1268,195,46
"2310324",993,204,37
"2310325",1277,254,40
"2310426",197,61,8
"2310427",665,599,48
"2310428",602,417,42
"2310429",198,55,5
"2310430",195,70,18
"2310431",192,72,7
"2310432",350,31,14
"2310433",222,580,26
"2310434",635,90,23
"2330011",892,79,29
"2330014",983,121,36
"2330021",1604,143,66
"2330023",146,14,9
"2330031",760,61,21
"2330033",655,85,25
"2330041",37,3,2
"2330042",606,172,31
"2350100",149,20,9
"2350200",138,24,11
"2350300",120,18,6
"2350400",187,24,8
"2370001",499,58,9
"2370002",526,53,10
"2370003",88,11,2
"2370004",417,46,12
"2370005",370,31,10
"2370006",573,74,5
"2390001",736,241,27
"2390002",914,140,17
"2390003",979,142,23
"2390004",163,20,4
"2390005",282,34,4
"2390006",216,68,13
"2390007",58,13,1
"2390008",239,34,12
"2390009",302,37,8
"2410001",19,10,4
"2410002",371,33,10
"2410003",470,88,15
"2410004",364,49,6
"2410005",77,14,6
"2410006",395,177,12
"2410007",204,136,4
"2410008",251,193,7
"2410009",889,102,31
"2410010",776,83,31
"2410011",244,26,3
"2410012",257,46,7
"2410013",219,52,9
"2410014",973,206,26
"2410015",1176,129,45
"2410016",118,5,9
"2410017",657,61,25
"2410019",979,208,30
"2410020",272,284,14
"2410021",522,245,27
"2430001",184,149,25
"2430002",127,85,11
"2430003",157,100,16
"2430004",80,30,6
"2430005",96,56,12
"2450001",72,708,7
"2450002",101,377,9
"2450003",49,808,9
"2450004",631,288,30
"2450005",384,419,25
"2450006",185,425,13
"2450007",300,392,34
"2450008",13,293,4
"2450009",1916,346,63
"2450010",42,205,9
"2450011",37,139,3
"2450012",9,223,0
"2450013",4,172,0
"2450014",34,564,7
"2450015",41,486,3
"2450016",16,144,4
"2450017",597,745,28
"2450018",18,688,2
"2450019",42,579,8
"2450020",49,422,6
"2450021",80,54,1
"2450022",819,1263,32
"2450023",319,914,14
"2450024",220,66,10
"2450025",896,252,28
"2450026",889,564,32
"2450027",344,380,16
"2450028",148,303,7
"2450029",843,96,38
"2450030",577,74,14
"2450031",621,76,29
"2450032",93,35,4
"2450033",735,341,29
"2450034",46,827,6
"2450035",399,79,8
"2450036",628,155,32
"2450037",1035,273,44
"2450038",1057,178,27
"2450039",29,928,8
"2450040",1280,256,50
"2450041",64,21,1
"2450042",1087,242,36
"2450043",932,235,34
"2450044",147,190,18
"2450045",137,333,3
"2450046",130,337,8
"2450047",150,431,5
"2450048",49,299,2
"2450049",28,137,0
"2450050",120,814,11
"2450051",11,139,1
"2450052",7,216,1
"2450053",43,557,3
"2450054",10,207,2
"2450055",5,157,4
"2450056",1461,315,59
"2450057",12,318,2
"2450058",24,11,0
"2450059",13,450,1
"2450060",1241,325,44
"2450061",444,337,25
"2450062",1065,439,60
"2450063",34,611,4
"2450064",83,347,8
"2450065",890,275,34
"2450066",614,158,33
"2450067",117,951,15
"2450068",710,551,42
"2450069",1215,384,55
"2450070",389,623,6
"2450071",44,9,2
"2450072",477,716,34
"2450073",1054,428,50
"2450074",1364,217,50
"2450075",50,334,5
"2450076",51,289,3
"2450077",35,572,5
"2450078",344,621,22
"2450079",759,448,30
"2450080",118,24,1
"2450081",14,321,0
"2450082",383,648,18
"2450083",551,119,17
"2450084",26,544,5
"2450085",88,661,2
"2450086",355,285,20
"2450087",72,452,10
"2450088",178,345,8
"2450089",52,145,1
"2450090",14,18,0
"2450091",370,36,8
"2450092",448,232,22
"2450093",55,248,8
"2450094",948,331,31
"2450095",192,94,6
"2450096",37,167,1
"2450097",0,0,0
"2450098",129,72,3
"2450099",89,215,3
"2450100",999,642,36
"2450101",1,0,0
"2450102",65,19,1
"2450103",16,3,0
"2450104",42,9,0
"2450105",17,54,4
"2450106",7,7,2
"2450107",1,0,0
"2450108",243,37,2
"2450109",99,21,2
"2470001",73,238,7
"2470002",145,240,7
"2470003",109,195,8
"2470004",85,284,7
"2470005",4,6,0
"2490001",54,119,3
"2490002",177,58,9
"2490003",476,137,23
"2490004",225,278,9
"2490005",33,80,1
"2490006",129,256,11
"2490007",706,441,31
"2490008",940,305,45
"2490009",79,143,3
"2490010",179,572,19
"2490011",109,179,6
"2490012",303,441,13
"2490013",37,130,2
"2490014",63,41,3
"2490015",255,329,21
"2490016",67,231,2
"2490017",264,390,20
"2490018",72,82,0
"2490019",119,31,6
"2490020",56,216,3
"2490022",158,404,9
"2510001",407,73,24
"2510002",2021,470,104
"2510003",1765,502,92
"2510004",2533,810,151
"2510005",1816,435,94
"2510006",259,42,11
"2510007",2869,691,222
"2510008",2110,1023,116
"2510009",530,77,16
"2510010",1284,382,66
"2510011",1814,353,92
