CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0294124",168,585
"0294125",7,26
"0294126",432,263
"0294127",10,12
"0294128",34,60
"0294129",33,15
"0294130",149,209
"0294131",52,103
"0294132",395,716
"0294133",15,2
"0294134",2,2
"0294135",0,0
"0294136",126,58
"0294137",49,7
"0294138",2,2
"0294139",0,0
"0294140",0,0
"0294141",11,83
"0294142",36,191
"0294143",394,1140
"0294144",203,96
"0294145",4,2
"0294146",4,13
"0294147",64,83
"0294148",40,49
"0294149",65,104
"0294150",237,497
"0294151",229,61
"0294152",359,533
"0294153",25,22
"0294154",149,204
"0294155",278,1063
"0294156",110,333
"0294157",162,660
"0294158",81,164
"0294159",4,3
"0294160",205,524
"0294161",18,189
"0294162",482,566
"0294163",319,655
"0294164",781,498
"0294165",34,20
"0294166",42,74
"0294167",5,8
"0294168",304,621
"0294169",110,86
"0294170",65,103
"0294171",353,330
"0294172",261,300
"0294173",428,428
"0294174",250,362
"0294175",0,0
"0294176",309,237
"0294177",2,17
"0294178",0,2
"0294179",785,754
"0294180",2,0
"0294181",0,0
"0294182",1,0
"0294183",13,43
"0294184",1,9
"0294185",2,0
"0294186",14,45
"0294187",0,0
"0294188",0,1
"0294189",96,265
"0294190",0,2
"0294191",0,0
"0294192",0,0
"0294193",6,12
"0294194",140,161
"0294195",0,0
"0294196",0,0
"0294198",203,522
"0294199",190,307
"0294200",371,841
"0294201",7,2
"0294202",0,0
"0294203",38,152
"0294204",1,2
"0294205",27,30
"0294206",85,121
"0294207",12,2
"0294208",0,0
"0294209",23,4
"0294210",3,3
"0294211",1,19
"0294212",2,0
"0310102",1059,329
"0310201",1108,370
"0310302",540,254
"0310303",300,71
"0310304",134,58
"0310401",1103,415
"0330004",81,4
"033001A",33,5
"033001B",49,4
"033002A",65,5
"033002B",24,2
"033003A",15,1
"033003B",35,1
"0350001",375,53
"0350002",343,101
"0350003",506,100
"0350004",264,35
"0350005",691,180
"0350006",595,132
"0350007",362,63
"0350008",1063,255
"0350009",438,110
"0350010",635,147
"0350011",426,79
"0370007",1253,650
"0370009",873,431
"0370010",932,209
"0370011",1227,190
"0370012",1106,188
"0370013",67,20
"0370014",1129,447
"0370015",277,33
"0370016",640,91
"0370017",757,117
"0370018",1028,213
"0370019",401,25
"037001A",57,376
"037001B",124,359
"0370020",210,117
"0370021",122,23
"0370022",163,34
"0370024",250,49
"0370025",569,113
"0370027",330,27
"0370028",406,27
"0370029",160,23
"037002A",121,347
"037002B",77,100
"037002C",61,390
"037002D",13,17
"0370030",564,167
"037003A",498,263
"037003B",150,213
"037004A",170,223
"037004B",565,279
"037004C",107,141
"037004D",6,8
"037004E",0,0
"037005A",44,58
"037005B",0,0
"037005C",1967,538
"037006A",898,302
"037006B",998,256
"037008A",140,227
"037008B",1202,357
"037008C",544,128
"0390001",1317,582
"0390002",1546,510
