CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0293076",647,329
"0293077",895,719
"0293078",1011,748
"0293079",1192,832
"0293080",403,292
"0293081",712,640
"0293082",695,662
"0293083",561,399
"0293084",955,835
"0293085",408,348
"0293086",662,500
"0293087",553,364
"0293088",1157,776
"0293089",1997,785
"0293090",1016,791
"0293091",485,149
"0293092",1333,514
"0293093",1694,1043
"0293094",1267,773
"0293095",448,852
"0293096A",1238,832
"0293096B",0,0
"0293097",4,0
"0293098",438,360
"0293099",1034,915
"0293100",825,849
"0293101",844,696
"0293102",1189,756
"0293103",152,202
"0293104",983,659
"0293105",929,811
"0293106",705,375
"0293107",311,545
"0293108",634,350
"0293109",613,891
"0293110",845,849
"0293111",0,2
"0293112",267,490
"0293113",168,354
"0293114",1069,453
"0293115",805,504
"0293116",400,504
"0293117",1161,803
"0293118",297,276
"0293119",1034,1076
"0293120",872,927
"0293121",1349,1102
"0293122",744,595
"0293123",203,117
"0293124",1023,771
"0293125A",1251,751
"0293125B",2,1
"0293126",650,394
"0293127",863,1043
"0293128",22,19
"0293129",740,1037
"0293130",817,377
"0293131",0,3
"0293132",230,416
"0293133",0,0
"0293134",417,1057
"0293135",235,292
"0293136",157,159
"0293137",1363,1067
"0293138",30,7
"0293139",324,446
"0293140",85,146
"0293141",298,429
"0293142",62,109
"0293143",419,459
"0293144",67,74
"0293145",1040,755
"0293146",756,1083
"0293147",682,782
"0293148",449,295
"0293149",262,1300
"0293150",8,8
"0293151",1547,1284
"0293152",256,510
"0293153",483,426
"0293154",705,384
"0293155",844,566
"0293156",10,7
"0293157",952,740
"0293158A",18,13
"0293158B",6,3
"0293159",412,598
"0293160",522,375
"0293161",543,763
"0293162",293,372
"0293163",908,628
"0293164",759,416
"0293165",1259,891
"0293166",139,174
"0293167",4,2
"0293168",213,260
"0293169",50,29
"0293170",0,0
"0293171",0,1
"0293172",107,170
"0293173",1130,873
"0293174",1673,947
"0293175",190,197
"0293176",21,17
"0293178",0,0
"0293179",1,1
"0293180",300,345
"0293181",812,472
"0293182",272,239
"0293183",9,1
"0293184",64,40
"0293185A",74,57
"0293185B",17,13
"0293186",1,0
"0293187",0,0
"0293188A",0,0
"0293188B",0,0
"0293189",284,324
"0293190",0,0
"0293191",80,49
"0293193",72,49
"0293194",1352,711
"0293195",259,863
"0293196",5,3
"0293198",211,191
"0293199",1078,706
"0293201",1550,811
"0293202",340,237
"0293203",186,111
"0293204",0,0
"0293205",0,0
"0293206",8,52
"0293207",1,3
"0293208",12,27
"0294001",419,891
"0294002",50,261
"0294003",64,356
"0294004",106,297
"0294005",127,624
"0294006",47,230
"0294007",183,183
"0294008",207,221
"0294009",52,248
"0294010",31,333
"0294011",46,400
"0294012",42,211
"0294013",93,283
"0294014",32,129
"0294015",133,646
"0294016",211,817
"0294017",217,887
"0294018",180,491
"0294019",250,712
"0294020",190,352
"0294021",214,301
"0294022",28,28
"0294023",397,665
"0294024",394,789
"0294025",153,345
"0294026",339,999
"0294027",205,512
"0294028",256,854
"0294029",117,687
"0294030",11,119
"0294031",164,514
"0294032",254,520
"0294033",465,909
"0294034",260,493
"0294035",5,15
"0294036",202,945
"0294037",61,505
"0294038",715,1017
"0294039",36,443
"0294040",75,408
"0294041",96,655
"0294042",21,26
"0294043",518,842
"0294044",217,372
"0294045",422,674
"0294046",811,630
"0294047",383,689
"0294048",147,543
"0294049",316,616
"0294050",523,376
"0294051",666,464
"0294052",625,527
"0294053",372,533
"0294054",823,997
"0294055",435,315
"0294056",755,735
"0294057",723,373
"0294058",603,361
"0294059",555,575
"0294060",361,522
"0294061",273,570
"0294062",88,203
"0294063",127,223
"0294064",514,564
"0294065",396,1087
"0294066",518,947
"0294067",333,389
"0294068",74,137
"0294069",383,204
"0294070",402,1066
"0294071",745,146
"0294072",1181,424
"0294073",387,333
"0294074",469,392
"0294075",57,235
"0294076",348,787
"0294077",444,808
"0294078",538,152
"0294079",421,319
"0294080",303,577
"0294081",116,75
"0294082",87,525
"0294083",146,191
"0294084",43,133
"0294085",10,0
"0294086",136,81
"0294087",408,622
"0294088",542,1045
"0294089",642,743
"0294090",466,526
"0294091",175,354
"0294092",510,393
"0294093",544,630
"0294094",458,465
"0294095",438,421
"0294096",381,626
"0294097",388,442
"0294098",379,422
"0294099",216,338
"0294100",199,270
"0294101",298,182
"0294102",87,211
"0294103",0,0
"0294104",397,457
"0294105",566,450
"0294106",50,111
"0294107",355,355
"0294108",748,816
"0294109",139,242
"0294110",152,458
"0294111",10,107
"0294112",333,200
"0294113",52,247
"0294114A",11,10
"0294114B",1,1
"0294115",62,47
"0294116",16,14
"0294117",155,159
"0294118",40,6
"0294119",81,248
"0294120",27,56
"0294121",57,33
"0294122",12,38
"0294123",17,56
"0294124",167,584
"0294125",8,25
"0294126",433,261
"0294127",10,12
"0294128",32,62
"0294129",33,15
"0294130",151,207
"0294131",52,102
"0294132",396,713
"0294133",15,2
"0294134",2,2
"0294135",0,0
"0294136",130,53
"0294137",49,7
"0294138",2,2
"0294139",0,0
"0294140",0,0
"0294141",13,80
"0294142",37,191
"0294143",389,1142
"0294144",203,93
"0294145",4,2
"0294146",5,12
"0294147",66,81
"0294148",41,47
"0294149",67,104
"0294150",240,492
"0294151",236,54
"0294152",371,517
"0294153",24,24
"0294154",153,199
"0294155",280,1060
"0294156",115,327
"0294157",166,660
"0294158",79,166
"0294159",4,3
"0294160",210,516
"0294161",20,188
"0294162",493,555
"0294163",331,643
"0294164",786,491
"0294165",37,17
"0294166",46,71
"0294167",6,7
"0294168",312,610
"0294169",112,84
"0294170",67,100
"0294171",358,324
"0294172",269,295
"0294173",427,428
"0294174",252,358
"0294175",0,0
"0294176",307,237
"0294177",1,18
"0294178",0,2
"0294179",788,749
"0294180",2,0
"0294181",0,0
"0294182",1,0
"0294183",12,43
"0294184",1,9
"0294185",2,0
"0294186",15,44
"0294187",0,0
"0294188",0,1
"0294189",93,266
"0294190",0,2
"0294191",0,0
"0294192",0,0
"0294193",5,13
"0294194",143,156
"0294195",0,0
"0294196",0,0
"0294198",202,523
"0294199",199,300
"0294200",376,831
"0294201",7,2
"0294202",0,0
"0294203",40,149
"0294204",1,2
"0294205",31,26
"0294206",85,121
"0294207",12,2
"0294208",0,0
"0294209",23,4
"0294210",3,3
"0294211",1,19
"0294212",2,0
"0310102",1066,318
"0310201",1112,365
"0310302",537,256
"0310303",296,74
"0310304",136,56
"0310401",1117,401
"0330004",81,4
"033001A",33,5
"033001B",49,4
"033002A",67,4
"033002B",26,3
"033003A",14,1
"033003B",35,1
"0350001",372,56
"0350002",347,102
"0350003",500,105
"0350004",264,36
"0350005",693,177
"0350006",596,129
"0350007",354,72
"0350008",1073,246
"0350009",443,109
"0350010",631,149
"0350011",424,81
"0370007",1238,669
"0370009",870,433
"0370010",926,212
"0370011",1225,186
"0370012",1111,183
"0370013",67,22
"0370014",1131,444
"0370015",277,32
"0370016",644,88
"0370017",753,124
"0370018",1030,211
"0370019",401,27
"037001A",56,378
"037001B",126,358
"0370020",212,113
"0370021",122,23
"0370022",164,33
"0370024",248,55
"0370025",558,116
"0370027",335,23
"0370028",408,26
"0370029",163,20
"037002A",123,345
"037002B",75,101
"037002C",60,390
"037002D",13,17
"0370030",559,172
"037003A",496,265
"037003B",149,214
"037004A",170,222
"037004B",561,283
"037004C",108,140
"037004D",6,8
"037004E",0,0
"037005A",44,59
"037005B",0,0
"037005C",1971,536
"037006A",899,302
"037006B",997,257
"037008A",135,234
"037008B",1205,360
"037008C",539,129
"0390001",1318,587
"0390002",1551,512
"0390003",1801,567
"0390004",1307,382
"0390005",771,245
"0390006",643,100
"0390007",299,555
"0390008",450,113
"0390009",271,165
"0390010",445,73
"0390011",1028,632
"0390012",1152,700
"0390013",1461,1002
"0390014",2051,634
"0390015",1203,151
"0390016",1514,620
"0390017",476,545
"0390019",364,420
"0390020",654,158
"0390021",1067,1278
"0390022",1834,501
"0390023",1495,608
"0390024",1767,600
"0390025",781,243
"0390026",1063,871
"0390027",824,649
"0390028",2068,1302
"0390029",756,1262
"0390030",1500,307
"0390031",521,97
"0390032",1125,274
"0390033",758,327
"0390034",1648,554
"0390035",784,148
"0390036",1604,985
"0390038",333,106
"0390039",1277,612
"0390040",1981,1080
"0390042",218,109
"0390043",1560,629
"0390044",1448,1905
"0390045",1397,512
"0390046",929,402
"0390047",850,567
"0390048",865,455
"0390049",792,111
"0390050",1256,2903
"0390051",1604,518
"0390052",1199,539
"0390053",291,864
"0390054",685,1051
"0390055",1164,472
"0390056",1673,708
"0390057",1352,346
"0390058",506,639
"0390059",945,2262
"0390060",1542,1576
"0390061",2349,951
"0390062",887,1258
"0390063",501,1620
"0390064",15,5
"0390067",566,1414
"0390068",644,1275
"0410001",1001,213
"0410002",2451,790
"0410003",330,178
"0410004",63,527
"0410005",850,196
"0410006",498,83
"0410007",871,157
"0410008",383,454
"0410009",403,362
"0410010",1291,754
"0410011",641,744
"0410012",1549,947
"0410013",839,489
"0410014",271,663
"0410015",1269,560
"0410016",108,326
"0410017",636,795
"0410018",34,187
"0410019",57,63
"0410020",851,1184
"0410021",302,506
"0410022",64,95
"0410023",50,8
"0410024",681,607
"0410025",47,341
"0410026",1288,517
"0410027",1672,345
"0410028",211,25
"0410029",339,182
"0410030",476,547
"0410031",1272,1080
"0410032",0,0
"0410033",240,439
"0410034",939,1176
"0410035",1440,2072
"0410036",1013,840
"0410037",95,12
"0410038",8,100
"0410039",1533,1087
"0410040",2016,1038
"0410041",2263,816
"0410042",0,0
"0410043",4,10
"0410044",57,7
"0410045",45,17
"0410046",100,70
"0410047",106,85
"0410048",101,29
"0410049",48,131
"0410052",10,2
"0410053",0,1
"0410056",6,2
"0410057",27,71
"0410058",233,139
"0410059",12,3
"0410060",63,5
"0410061",30,8
"0410062",1,0
"0410063",2178,824
"0410064",0,0
"0410065",69,15
"0410067",93,37
"0410068",0,0
